Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950,5050
Y_N_c,50,(-0.07535976709342238-0.061058625186813285j),(2.9639779075107464-0.2811969559463261j),(2.8060409807925213-0.8764456797223572j),(2.676425725619628-0.8357273193077303j),(2.571688898187376-0.6460239357955313j),(2.580496034601991-0.6893616972865217j),(2.7667299136249013-0.7069084335307183j),(2.775339998678213-0.7645100480143786j),(2.823366981553063-0.5573800689757745j),(2.777533889274544-0.6037819524112762j),(2.8256705440085015-0.615737976366259j),(2.7907914729453838-0.7408090996262158j),(2.758092022657136-0.6653174117627975j),(2.6996175784226573-0.6545600903495961j),(2.724590053325336-0.6592772368265095j),(2.7571907963778592-0.6918766293623686j),(2.782946996090897-0.702806641426031j),(2.772734497306215-0.6523967980957891j),(2.76980389241576-0.6345826026720822j),(2.7668254721132572-0.6565262427500634j),(2.7686184643748213-0.690332046815833j),(2.7511844270385257-0.7006606347138806j),(2.749466607351741-0.673798942090991j),(2.744105580912072-0.6689157543972999j),(2.7614528418998097-0.6693763003048625j),(2.762321028528849-0.6893986040814444j),(2.770041832485247-0.6801095304148703j),(2.757723981476087-0.679422487220017j),(2.758891857738918-0.6717435544220325j),(2.7520006929018614-0.6841629736221573j),(2.7564217890316574-0.684371800114328j),(2.752747719154356-0.6899927598695731j),(2.7542920868714234-0.6836827550697403j),(2.7571030555220157-0.684095652201906j),(2.75914306346928-0.6827340520247019j),(2.7579402589563426-0.6814128824737606j),(2.755761876643682-0.6862969192394757j),(2.7567420829413742-0.6854867025444509j),(2.755673116343033-0.6907060211855536j),(2.756134669415981-0.6869499681390794j),(2.75146097990988-0.6846421688103339j),(2.7555409546272256-0.6850978857721883j),(2.75529930336214-0.6892302965852464j),(2.7588345582902405-0.6910579001938675j),(2.7555849529472036-0.6896812461705752j),(2.7567292860502834-0.6840713563774057j),(2.754233662611809-0.6859146127821384j),(2.7568778884607026-0.6885101906654219j),(2.7541428785023547-0.6938789041857176j),(2.7560768397311897-0.6893832977035339j),(2.7534728822528596-0.6892548801686282j)
Y_N_c,150,(2.2284915289272162e-09+1.3036561463348154e-08j),(-0.3527018009277944-0.5976374353041419j),(0.5991832162081104+0.4735290222920332j),(-4.4276688043214546e-07+1.0526464751102588e-08j),(-0.3444192285397382+0.016376010928782075j),(-0.17714514681484128+0.18896418567567075j),(2.9463424405231654e-07+1.8876545592133848e-07j),(0.25142903690620805+0.088427260184103j),(-0.08501895941871625-0.15033932209539605j),(-2.721441771911005e-07-2.9568195339618865e-07j),(-0.07785069929565164-0.09054869980059055j),(0.12932770998341894+0.019459981273888108j),(1.1127839226643455e-07+2.441395886740121e-07j),(-0.007237118011607178+0.05726775647254532j),(-0.07434081703532329+0.03382887806559492j),(-7.407818414946856e-08-1.2631215949512627e-07j),(0.01481245416935976-0.01445151110850209j),(0.017183781903619324-0.027125493220114996j),(-4.2389404846756323e-07-5.131161653277726e-07j),(0.005041781350208111-0.006817843482455101j),(-0.007435699788496986-0.004660289968279643j),(-3.607596171767097e-07-6.041945152226143e-08j),(-0.028529998154528047-0.003343600206936154j),(0.005826563420180838+0.020167036538624998j),(-2.0645367258782996e-07-3.567557477596896e-07j),(0.017998241116453838+0.005367990853858852j),(-0.012536246307853563-0.02470698676369029j),(-1.4086297628066182e-06-4.5485959094689054e-07j),(-0.009748250250809366-0.006973104058429427j),(0.025461541319667207+0.02121997532746111j),(-3.110471905775654e-08+3.421727489330449e-07j),(-0.001304694871521801+0.0038597196422633716j),(-0.014758786154137525-0.00494367791466117j),(1.1653770086982246e-06+2.423439156522612e-07j),(0.012466393896604483+0.0028711165036878128j),(0.009641227811386106+0.0020267430485767686j),(-6.617666415664111e-08-2.1411251935326513e-08j),(-0.009908696584161854-0.005493159227844787j),(-7.688446744505725e-05+0.0003508879062678434j),(4.4706924644417816e-08+7.679340079268976e-07j),(0.013205608246890292+0.010641060578475976j),(-0.002272836155337663+0.00031421906156252506j),(3.796791576250509e-07+1.107372241521852e-06j),(-0.005530849240880402-0.004640076759871823j),(0.0028662498694002575-0.0003087060413624166j),(3.956606888905668e-07-9.850348416993257e-08j),(0.007876160164838624+0.0034950094649415907j),(-0.006352530890211202-0.002410334997684469j),(-9.519834497239383e-07+6.341533565107244e-07j),(-0.01061451044072079-0.004285198774165985j),(0.003175867610085312+0.0021350298929543486j)
Y_N_c,250,(0.026208561916367834+0.05536211621784805j),(-1.7098808179504599-0.34788879227648617j),(-2.38822986778167-1.029867932766066j),(-1.127435839490592+0.1559359951224213j),(-1.780785600187726-0.37711744413175585j),(-2.0050417528699245-0.5109226374910094j),(-1.7318901904408661-0.2781325086463343j),(-1.8336003943818506-0.5120163952519895j),(-1.6540907270586762-0.3962828340773287j),(-2.0011971070590433-0.5671604180566401j),(-1.8087391003059938-0.38284944980690583j),(-1.9111687510335107-0.4012570897203285j),(-1.6981444233104295-0.4502244802989853j),(-1.802393900713314-0.46779382808975145j),(-1.7613294155870423-0.43436697717009903j),(-1.8594331720191222-0.36015862362621104j),(-1.789817360517896-0.3960261797016389j),(-1.8135002694167262-0.42306783618290933j),(-1.7659585465944407-0.48616183558978465j),(-1.8140009687160257-0.41526037200471255j),(-1.789588177513461-0.3830867087473899j),(-1.810148979035437-0.3680552805906328j),(-1.77518979138328-0.3996889485684402j),(-1.79523113360366-0.431449378311634j),(-1.7624736603233455-0.4029742632742258j),(-1.8139940859464685-0.39927425269145433j),(-1.7859309995125134-0.370898340026791j),(-1.8199839594131202-0.408567447963462j),(-1.7778606459594624-0.39349312030052985j),(-1.7843355748212706-0.41499742487534363j),(-1.77283097408429-0.38163853434391626j),(-1.800012660118161-0.38596957690300815j),(-1.792054785767088-0.37823706118417555j),(-1.798112104719044-0.3898114474319332j),(-1.7801657743677293-0.3944563740230387j),(-1.7764655560778628-0.3930377622003024j),(-1.7888749484590363-0.38304661112484084j),(-1.789614004145202-0.37547755721446574j),(-1.7958696900900843-0.37710180890559053j),(-1.7781657699288915-0.38085113199095344j),(-1.775370467888883-0.3952935505563445j),(-1.7733939423745653-0.38213460639018826j),(-1.7937685461650532-0.376850196440486j),(-1.7817531299404337-0.3701705043919489j),(-1.7909781689423359-0.3766084466486991j),(-1.7680223979350254-0.3850772840340778j),(-1.7787877233922433-0.3829606488662307j),(-1.7713468471722797-0.37308784014520446j),(-1.7889962037258527-0.36684527633361186j),(-1.7719117145587289-0.36933060124316586j),(-1.7845170805835782-0.37768090878640315j)
Y_N_c,350,(-0.0038596649533747165-0.03629787291620514j),(1.1205176160550991+0.8254450653874239j),(0.8576706730784522+0.7047571789785341j),(0.08209497475427896-0.03467195563785552j),(1.9712352729572755+0.9330482180332154j),(1.2166589618428225+0.6043319259341933j),(0.6818567618848262+0.4285622409413611j),(0.9226016425257667+0.6763346013127337j),(0.8524333124108604+0.45734282015305805j),(1.1907409480495899+0.6618999504905239j),(0.8349976956791706+0.5820698702158642j),(0.9658842083726252+0.6596137196546217j),(0.8485865454223342+0.5871233694352134j),(1.0776181432078678+0.49797578492027345j),(0.9710995579373416+0.5829765498381418j),(1.0142341206637877+0.5690154410917122j),(0.8940233850935572+0.6726792752118722j),(0.9594270430949494+0.5442139700406183j),(0.9074148099481288+0.5634007674750114j),(0.9649563192694002+0.530302334516313j),(0.927083059653486+0.6106900149036879j),(0.9788288994937088+0.5954641377203174j),(0.9444835120108865+0.5849268166812174j),(0.9672639478890354+0.5440944306859719j),(0.9121653121489347+0.5374951019996077j),(0.965832190757396+0.5883041813404764j),(0.9328266722655084+0.5835904934702623j),(0.9776582493606062+0.5953293311308762j),(0.9287790743628175+0.551350936192805j),(0.942844430908647+0.5483064489939264j),(0.9332358969456209+0.5542252890196668j),(0.9697019863581313+0.5839130190852313j),(0.954448918941843+0.5736377781970678j),(0.952867714732978+0.5724779801802207j),(0.928622087497648+0.5518101333476587j),(0.935395018152626+0.5500395055826208j),(0.9514354502233835+0.5667966881497973j),(0.9509610057192758+0.5715414983236096j),(0.9516600798921693+0.5718815643076643j),(0.9340175080407294+0.5614044962836392j),(0.9388602374541023+0.5434116294669877j),(0.9358078487054708+0.5591539527730718j),(0.9552632032544652+0.5668989398047788j),(0.9350622235793387+0.5739797818450071j),(0.9486040568301095+0.5634565188101228j),(0.9239982910125836+0.5564444775275936j),(0.9415350987687283+0.5458686365907168j),(0.929788711953818+0.5645709718519911j),(0.9505779525938467+0.5636796854589533j),(0.9294894442594135+0.5684251170706016j),(0.9455947034278012+0.5568780278979049j)
Y_N_c,450,(-1.8735823858638102e-08-1.5362314984502454e-08j),(-0.07515846846165528-0.05840571121435729j),(0.340635166698343+0.38458840190936233j),(9.200103114340043e-07-9.308728996207253e-07j),(-0.9873080957977383-0.5926544192026206j),(0.9425390443502302+0.13313083227138284j),(-5.73434551855704e-07-1.086148368642767e-07j),(-0.4561433044013018-0.08901329167444044j),(0.07946982967639384+0.20214476481263485j),(4.2523581351832616e-07+5.49636622246104e-07j),(0.2899176592688265+0.020005139994734647j),(-0.1376278153408051-0.03662087538949337j),(2.6813034336173e-07-9.235485630916486e-07j),(-0.14018339545608371+0.04881391659978437j),(0.09446168262092386-0.09184419925170947j),(1.2902134827273753e-07+5.330135798402106e-07j),(0.04951411959212627-0.07443788858137215j),(-0.04199996076090599+0.09976546814169267j),(7.21591683202663e-07+7.709415953818235e-07j),(-0.012380942422847237+0.04051144965940534j),(0.04610025300937298-0.06388281443402022j),(6.406885932409815e-08+3.85284059916421e-07j),(0.036094182092738174-0.007649195295136583j),(-0.03726482484548971+0.02108217601843137j),(5.108290784312573e-07+5.936426530440458e-07j),(-0.020557855410551072-0.017279495864243336j),(0.03988782148675973+0.004242541829443457j),(2.2954402796008655e-06-3.418435543791334e-07j),(0.018694232070299254+0.018036888989250502j),(-0.054098520370120404-0.00412712643088764j),(3.128501887278976e-07-8.641892208725007e-07j),(-0.005943069783424004-0.013326671470123643j),(0.02656091155128055+0.001732950670933488j),(-1.1152222589881376e-06-9.440923766157461e-07j),(-0.01471504341417803+0.009552014993879344j),(-0.02350206521001824+0.006668459923577837j),(-5.991368008116551e-07+1.1435856581613356e-06j),(0.015566047377786255-0.002424211271622911j),(0.006300915399693332-0.0018994262902903064j),(1.7361829192354838e-07-2.2643959735941855e-06j),(-0.03288767295782393+0.009852135174925152j),(-0.00016649368221308418-0.0035447259659806695j),(-1.6410599301967392e-06-4.92102304818987e-07j),(0.01879171343848564-0.011037725131498421j),(-0.004062521170254218+0.005948331414122764j),(-1.8282534449034343e-07+1.4781405436918452e-08j),(-0.020786893110314522+0.01148827002230645j),(0.014179073739149319-0.010490019555513957j),(6.937825018220319e-07-8.911300192082406e-07j),(0.022264127132486825-0.009311371789240654j),(-0.009359408857436382+0.007456088229186022j)
Y_N_c,550,(-0.011120732026914819-0.0018987629465735305j),(0.19312154942683762-0.259173123779599j),(0.13815777972050958-0.3879905177083266j),(0.8777769117904869+0.19991311942231993j),(0.15113282157253047-0.1633075883219154j),(-0.9921150617771657-0.5197834419912237j),(1.2658936101666654-0.041912097965607076j),(0.3805570295336587-0.1013463226701504j),(-0.06582628058554527-0.23177112562809446j),(0.31544254894223245-0.13717553603445867j),(0.2140588491920361-0.24218510251550898j),(0.5177044888241686-0.278113401071412j),(0.1493406733706085-0.08451236813718352j),(0.2747126633927193-0.12561400952650006j),(0.1386488726262053-0.07273352377597243j),(0.3406044758886779-0.30239100492024285j),(0.2459552980737386-0.18707478823392398j),(0.301483420182285-0.24352957578734408j),(0.22141021482104653-0.04587297591108816j),(0.2747972068661201-0.21335261198504551j),(0.2387184233232979-0.18601771127167782j),(0.2671735786629119-0.28023228237300446j),(0.2273578453416965-0.17884723799619154j),(0.2723629707841199-0.1665088166225105j),(0.2388089383087938-0.15575323762365215j),(0.27949798711350565-0.21840767762619756j),(0.234321710160064-0.24151156541321622j),(0.2793802619014567-0.2156079557894019j),(0.24465331597339035-0.19801393167465756j),(0.28202848828988475-0.16346053557584656j),(0.23713291916204624-0.21013295905249108j),(0.26280425283663933-0.22298977633160422j),(0.24242960215668696-0.23215209116700683j),(0.27341802822328687-0.21344860425949835j),(0.25963863500658085-0.19873373554142817j),(0.2598442159553519-0.1965685804021769j),(0.24848427247792843-0.22309358416460853j),(0.25296327856343276-0.22864247039669353j),(0.26219257635150084-0.23160709219046413j),(0.2568279378778095-0.2105940326495553j),(0.2592940456113116-0.19449770144250206j),(0.24386697386966494-0.20577687306883197j),(0.25892357120803766-0.23217421824666734j),(0.24929125424077223-0.22453740336291694j),(0.2648211135019228-0.23167397424461733j),(0.24519786772355337-0.19698581676859805j),(0.25817041307790384-0.21475003563129913j),(0.23843395768105974-0.2119717178112691j),(0.25992260109114085-0.2409749802959441j),(0.23852416120711514-0.21808367439756612j),(0.2614558122210652-0.22536782507303715j)
Y_N_c,650,(0.006625206981364571+0.00984539210337982j),(-0.39246696691517047-0.09627081718280356j),(-0.2966892321522978-0.12423338818040229j),(-0.65619363003576-0.24339520025388556j),(0.24285918966635367+0.3518315234090815j),(-0.561712608924601-0.05134795054790664j),(-1.6391421008864318-0.23375894452884421j),(0.7599866316507702-0.039386547461878973j),(-0.3463653189623694-0.019484746461124358j),(-0.7870752589631804-0.09590716460636062j),(-0.4323591579706107-0.06032211322904024j),(-0.4105189936910565-0.06916063741734146j),(-0.15960940267047802-0.18628213365720386j),(-0.466415803783953+0.010564448447297148j),(-0.39250922055247534-0.10407093327775808j),(-0.5174993976674865+0.041883763781743466j),(-0.3250452490549527-0.19180107266456264j),(-0.3981438584063334-0.028838497501241622j),(-0.3126124706675086-0.1404461056289381j),(-0.4110546022507105+0.03158126096334801j),(-0.37897363980915033-0.09563636630072349j),(-0.4162949213387337-0.03024109650783624j),(-0.3791184561508658-0.11342398691236105j),(-0.37896177972051576-0.027342087107311064j),(-0.33781678531252174-0.041696017916843284j),(-0.4015055097454787-0.03273341293599505j),(-0.38415793514308766-0.06440561054547102j),(-0.4236207473127219-0.06723896315273983j),(-0.36173030891660407-0.04672594889198195j),(-0.3574844625013355-0.027563989651082005j),(-0.35485188141585045-0.026827497081320234j),(-0.4109793003744786-0.04766737032780802j),(-0.39296293265707405-0.04435584784563476j),(-0.3986875899936492-0.047492217540896484j),(-0.3479559792476508-0.029802094823111636j),(-0.3639825517218379-0.029730836526995444j),(-0.38032460597576473-0.03173181550640239j),(-0.39956414323901884-0.041496496477017294j),(-0.3885397004198938-0.03432858933558189j),(-0.3696034511186335-0.040694983241350555j),(-0.3517746457663907-0.021244335720982915j),(-0.36809317601916425-0.037470178476911725j),(-0.3922021719252976-0.026798711307569514j),(-0.37916165157275056-0.0456409841980137j),(-0.3838374915019835-0.0280830174956586j),(-0.35242115263880747-0.0447322187479221j),(-0.36676950785129236-0.015042381407091604j),(-0.366171493884695-0.04234766026305806j),(-0.3889997669966013-0.02045076893764322j),(-0.3681815923747497-0.04921735931680392j),(-0.376880551365953-0.024358488641678125j)
Y_N_c,750,(2.452731546466552e-08+2.0376950392047145e-10j),(0.07262269210521528+0.04767224707491396j),(-0.1362014217342124-0.10034653746611406j),(-5.891824175494755e-07+1.5357483040187796e-06j),(-0.31142719164982485-0.12719345733852658j),(0.8958520942306608+0.3951211559934852j),(4.493562907486068e-07-1.2012449253892223e-07j),(-1.245594094537796-0.11279660046822937j),(1.0860419851465688-0.16885213672821509j),(-1.790333231686416e-07-5.341376220398786e-07j),(-0.3680896993161381+0.06297875707065874j),(-0.04536696828912944+0.06322948302873098j),(-6.189167140254266e-07+1.052522546853624e-06j),(0.21672709381524125-0.1614711477042456j),(-0.06320197204453232+0.10201072214542861j),(-2.3561853438624053e-07-8.49407849784563e-07j),(-0.09093923852457601+0.17316316568889856j),(0.05573933330565698-0.13466000328756333j),(-2.5878542645246926e-07-5.904517445030972e-07j),(0.022775769830880574-0.0918460544517353j),(-0.04637869965252555+0.12541142415378498j),(3.255757658064084e-07-3.1599561898892506e-07j),(-0.02191928906195186+0.0411332442393088j),(0.02366992841372658-0.07665462441952733j),(-4.03414688492873e-07-6.109271130336458e-07j),(0.013445294575963917+0.011829967081687553j),(-0.021580079037101324+0.03784773561177457j),(-1.4081665250830092e-06+1.4976981802236788e-06j),(-0.021568568198201514-0.019519983546919993j),(0.03400385255798755-0.029534493571333923j),(-6.784584275621767e-07+7.34757260282158e-07j),(0.017633678739760912+0.02059187173818148j),(-0.02293315188539639+0.00689432316312365j),(3.507353832912628e-07+1.1463566920303756e-06j),(-0.004485232241880049-0.0236505622154802j),(0.027138945313243866-0.014982816213360142j),(7.469047840556899e-07-1.6893055910069532e-06j),(-0.0014575486839361147+0.012729969612220452j),(-0.015135147174846333+0.0025433300772221656j),(-6.565316408310494e-07+2.950212380675103e-06j),(0.019736023743339506-0.031084313844795715j),(0.00869655748951772+0.00454244589959721j),(1.029981984814772e-06-5.267256005019331e-07j),(-0.014497561965497539+0.023905808744985303j),(-0.001396618503465058-0.008283271028574412j),(-9.702394304027622e-08-1.25199941279747e-07j),(0.017743032374494705-0.02502268400794521j),(-0.006943055114437582+0.0201962612474915j),(-3.9786333546711434e-07+7.882590175517928e-07j),(-0.015961368390847847+0.023761194926801985j),(0.005402030216970085-0.015035831615907665j)
Y_N_c,850,(0.0035339489290434982-0.0038706665775265414j),(0.04467138637565262+0.1827925298544608j),(0.09728777628893967+0.2990083798800158j),(-0.16540387933188733-0.0008958446232582902j),(0.16263005519633766+0.09473759218465871j),(-0.21714427915341616-0.04149748387569227j),(0.9183034608939389+0.33414975111243006j),(-0.07070000678258001+0.10539504122921911j),(-1.292534899096017+0.19603502161737138j),(1.1790187002942394+0.03499668900783942j),(0.10913667789940629+0.18125937672997475j),(-0.27952914153865793+0.2545882378413791j),(0.006537497321788179+0.10653255967249169j),(0.0315350885785698+0.1066445255070613j),(0.2388666699286603-0.04096486931984556j),(0.0029319902737559578+0.22927056580246072j),(0.05263285833276645+0.11888937695161302j),(-0.03391775507813546+0.26826595496458855j),(0.06610416381680376-0.01698823957367707j),(0.03871190395041001+0.1741185063074508j),(0.07585676250375299+0.06865346225819724j),(0.04510006729460022+0.26146347728057256j),(0.06575739682878329+0.11659011879686493j),(0.023708699348382503+0.15011499274119694j),(0.03476529339077702+0.06328160490958802j),(0.03498362391968127+0.1672728829591969j),(0.06587388434082418+0.1684564418114813j),(0.04231437786633604+0.1844595206704814j),(0.04411869376443223+0.13809894007315127j),(-0.004592464619973098+0.10940815482463861j),(0.049975318766815977+0.14029282980090857j),(0.04205233647940599+0.16558624867340047j),(0.06951431154236279+0.17508957470525285j),(0.023039200930732535+0.1567326460040247j),(0.026823808948879497+0.14184026695667162j),(0.013433434426391049+0.1341491866807764j),(0.05566794531317357+0.1631023566048178j),(0.043401445316666974+0.16365733973679625j),(0.0449717888187795+0.1711650866792649j),(0.022332957002584232+0.14766728509091412j),(0.021166116475363202+0.13935691281694024j),(0.03735622690860871+0.13899266369383773j),(0.04557673295493224+0.16912129765600953j),(0.041400049792349417+0.153283135324449j),(0.030835249787392816+0.17232720247823793j),(0.028834141127398977+0.13250976050898755j),(0.025552169290551843+0.15389548496832786j),(0.04578604217854891+0.13732987756209739j),(0.03668390049805896+0.1750442097821065j),(0.045750739053818254+0.14539398367805342j),(0.02704952183139869+0.16723610324338806j)
Y_N_c,950,(-0.003826725817316817-0.0017720727179068568j),(0.10210263446524685-0.04118741894763991j),(0.07608226152370896-0.00757606307623454j),(0.324094457333479+0.13776746774522308j),(-0.0944082421721843-0.18992610481244912j),(0.1795443659483282-0.058251473786404974j),(-0.24998203924639784-0.15844112988986564j),(0.9468926199924252+0.13539640311782497j),(0.1328498151579918-0.0020327166829233606j),(-1.1627533008247148+0.11164420979848644j),(1.283274026437806-0.2363260143893527j),(0.1444124412213434-0.06255743806130626j),(-0.19722009583691702+0.1554754678130573j),(0.040843100352500654+0.0060013497703861485j),(0.12019994360687064+0.02721907655258312j),(0.3120731143042742-0.1902544990089835j),(0.08492451368213406+0.07155580838649053j),(0.1283896275120325-0.03757762284865827j),(0.02831460209566675+0.14541125938003263j),(0.1537181598993208-0.13254623144735483j),(0.1370413669062796+0.0016349763424666j),(0.14952537960544046-0.11761065421234547j),(0.12061912464947219+0.06887547615304612j),(0.1040035596486066-0.04442704829019622j),(0.0930199595696575+0.0040289490894860345j),(0.12902989406985158-0.09213473717667023j),(0.13483858192712633-0.022344464133432846j),(0.15456452885183378-0.0341389312147702j),(0.11793856196711129-0.009050468404990134j),(0.09690704392517549-0.04200837628672673j),(0.09472949302977231-0.054046679897930425j),(0.14325017983561353-0.05290054191942144j),(0.13400987631401967-0.04470709751644898j),(0.1515761850178489-0.03435111308619376j),(0.09321609305208842-0.04281724821687997j),(0.11064657195481346-0.04311151641483766j),(0.11200566030697821-0.05871508009369211j),(0.1520071720154602-0.047097533145290214j),(0.13250802943820272-0.05605399925158368j),(0.12788744699426524-0.037237674404267174j),(0.08736180453764336-0.04771921628070686j),(0.11764786099164912-0.042070255100304314j),(0.13111946068061198-0.06346911553944173j),(0.13929003162134307-0.04360165641866083j),(0.1291129202013943-0.05731009713136506j),(0.10851955312131129-0.02679307511759932j),(0.10816951836555255-0.0599022668676286j),(0.12189170417579402-0.039319459173096975j),(0.13594277391341628-0.07064790130952953j),(0.12748981230063136-0.03244920304108137j),(0.12313915175224582-0.0573008219656258j)
