Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09057750443746854-0.02207952494276742j),(-1.136330080173288+0.12203977558048294j),(-1.2626643908752644+0.20126629438467397j),(-1.1901743457965648+0.10381891606553138j),(-1.2210668009921763+0.11516468440824368j),(-1.2117808633210596+0.23869136760498852j),(-1.2127696744614718+0.03832891448427467j),(-1.2150855370438725+0.182509924088773j),(-1.209096128155922+0.12438311153890735j),(-1.217492617354476+0.1577504286746379j),(-1.2115038883656235+0.14578349904769194j),(-1.2127277960930294+0.1066805128285529j),(-1.2144703163654242+0.17837242958520047j),(-1.2118869070405212+0.1095042182674626j),(-1.214008006572548+0.13884000479776865j),(-1.2123337365273095+0.14890640383492687j),(-1.2137317268292198+0.1300683002125047j),(-1.2133941519533973+0.14323009945413376j),(-1.211883172412784+0.11377178980640398j),(-1.2139083462842635+0.15076716560353456j),(-1.2128976078872575+0.13727549324171315j),(-1.212960593097595+0.12116728513557161j),(-1.213093331061334+0.14332963735265053j),(-1.2127513981035682+0.12820610644641006j),(-1.2133938853472026+0.13476901261091906j),(-1.2125964557430664+0.1303255436214864j)
Y_N_c,150,(0.046469550560782454+0.18176703575547504j),(0.7723265128695097+0.328266765041345j),(1.1839342131383461+0.27434601164517947j),(0.6859341003696177+0.41832407389589854j),(0.9888568523849548+0.3765286545098038j),(0.9609597742548938+0.17124397745792236j),(0.8984112428039011+0.5766849641721409j),(0.8844190533199713+0.23493763183770333j),(0.9457067471238476+0.403338585181112j),(0.94673389115034+0.3218480042936416j),(0.8767170824564844+0.33088882682898685j),(0.9182204432924469+0.4189130656123745j),(0.9515526823410568+0.28258725951364094j),(0.910326124290373+0.4210779222223242j),(0.9003178539684827+0.34460024608168177j),(0.9276057942234573+0.3381755590143585j),(0.9395188270258524+0.38254105234886504j),(0.9022612147237856+0.3405975069200955j),(0.9083101405283956+0.4056267000454708j),(0.9418250311044759+0.33742104659251687j),(0.9181250349164395+0.36118406002237247j),(0.9060372479306645+0.38796567478396266j),(0.9200199778468011+0.3456295650949123j),(0.9364976291889562+0.386643335671485j),(0.9122223057162767+0.36191596725353037j),(0.9082226909369342+0.3701313823209834j)
Y_N_c,250,(0.10642279039529884-0.16123980496138654j),(-0.1923696363523144-0.3539780947098401j),(-0.8532432714833122-0.6242309161907811j),(0.11744609520707962-0.42422081151610536j),(-0.6071097753189051-0.45519844401975756j),(-0.3946107340511891-0.45759317938567007j),(-0.33212931346356156-0.6541847845749629j),(-0.3457016655156142-0.3168423494158744j),(-0.42204036972361564-0.5978446969963666j),(-0.40437240747112824-0.47941553781073415j),(-0.31650012637031405-0.4339073265489203j),(-0.38917597807987975-0.5325250034076608j),(-0.4181549537683277-0.4749537712033215j),(-0.35925086107472576-0.5459916699433471j),(-0.35747627217788364-0.4487234346996595j),(-0.39214276070091475-0.49650945651423284j),(-0.40157914392679445-0.5386989638437983j),(-0.353726382700645-0.45911171653140936j),(-0.36725398177249036-0.5224716657978932j),(-0.40820908523611116-0.5041066279732959j),(-0.37303410833328954-0.5012228646298503j),(-0.36189517986664177-0.49970092033708013j),(-0.3815288906504962-0.4857177949959754j),(-0.3988081625338299-0.5439409538579696j),(-0.3676263542815511-0.4876993317507256j),(-0.36512538571206776-0.4924748411466515j)
Y_N_c,350,(-0.11985138271441069+0.003075984484934871j),(-0.14191700233810067+0.05257511670654727j),(0.37802928752914317+0.6843342453294877j),(-0.6075047438500448-0.003564106396192625j),(0.44527810270221124+0.24440253214747867j),(-0.2756161687457483+0.4650309833762123j),(0.024075885518206087+0.2342163878047391j),(-0.022909817596346787+0.16070370472194112j),(-0.015223585573443265+0.4200896203437776j),(-0.05966202785093601+0.2668239146565525j),(-0.04613094390393584+0.22597483308365918j),(0.017435737689761928+0.2863614066839659j),(-0.06465536263422296+0.32900308989893845j),(-0.027284133589209156+0.2879934699565769j),(-0.018428761329103545+0.2306090546233662j),(-0.03450310128805943+0.31495183384745296j),(-0.03140434289568236+0.31478337932094497j),(-0.03665208891221267+0.24706779455441616j),(-0.009083968068900276+0.28208095864342175j),(-0.03781828315259863+0.3161336759337642j),(-0.03790751969354958+0.28696538998368787j),(-0.01630193057493056+0.2603548472763566j),(-0.02954575624462251+0.28648913515149876j),(-0.029614131023039593+0.32402214421130027j),(-0.029928014531189442+0.26657727425035616j),(-0.0230237383206712+0.27129837415601876j)
Y_N_c,450,(-0.007923327417321635+0.058542750302898086j),(0.10996528247361097+0.18961209472300253j),(0.004954043556048967-0.4267096342022267j),(0.5506676017478891+0.38679994591298245j),(-0.5195907810376729-0.10141457878863891j),(0.7445336112920595-0.19452350095720952j),(-0.18732717746334665+0.23864153818505504j),(0.1518068337378877-0.07471931718385603j),(0.15061060296052803-0.0701043045808409j),(0.1963561493121674+0.0708292965354713j),(0.07773738368941235-0.026915936870865735j),(0.06948067566109702+0.009205587921900333j),(0.23859010459005556-0.0265101178736816j),(0.07180693003179485+0.0290237279307216j),(0.09755368196723223+0.004131007897888126j),(0.15658790163137973-0.03101262317720047j),(0.14093536773540985+0.02264290292117093j),(0.11154028189333025+0.001188271530086685j),(0.07682738873832033+0.0034142773366821594j),(0.17453892229126616-0.005954129167421554j),(0.12533927300725+0.003382214804167611j),(0.08315158158583709+0.014764596920808549j),(0.1356000590770378-0.011599213261059465j),(0.136046040471438+0.00757302879327782j),(0.11209973637548591+0.009253863453123075j),(0.10131177445688296-0.0015860459477952324j)
Y_N_c,550,(0.0733450644853153+0.015316844597322864j),(0.03885803114952749-0.157588419111271j),(-0.10519477367172322+0.04725135401561018j),(-0.21745244269588232-0.3868195439458198j),(0.5450232212316571+0.15741409367015413j),(-0.8081998686129634-0.14688436023881007j),(0.574636659489708-0.3651672900371689j),(-0.25428394086235206+0.16952338763568953j),(-0.002629008033935539-0.22025370668177452j),(-0.05911065869414506-0.20373675586043888j),(0.02210860112142331+0.01641263419139988j),(-0.022106157919974095-0.1480526094237447j),(-0.10096080972786518-0.14983897341638278j),(0.05825010924837863-0.1365290150346003j),(-0.03978799496260189-0.06757892968257005j),(-0.048420316550484115-0.1196825251737424j),(-0.014471859648273699-0.1799408643681971j),(-0.01876095959777295-0.07274101369592645j),(0.007698134402738838-0.11505912296852229j),(-0.05833818951081755-0.15479523893275052j),(-0.008349999527214758-0.11851200561687576j),(0.0003758826320215545-0.10569389277741827j),(-0.04038407801867198-0.11057419525841505j),(-0.010660987851297368-0.16753015078661906j),(-0.014611158328243445-0.10702357831765348j),(-0.011531615335182929-0.09912903218130548j)
Y_N_c,650,(-0.01841342212226409-0.059999316135980627j),(-0.055396453367396944-0.01462944251894459j),(-0.02985532404368121+0.1755122765920708j),(-0.003008683329298712+0.09907315093355591j),(-0.35064559589922145-0.22436394181484035j),(0.532286615039596+0.2958489400219066j),(-0.7708285423028051+0.13765864893808408j),(0.4641381390902204-0.25975206852622795j),(-0.273078229098121+0.33737395795284314j),(-0.05892913845488643+0.014762125918404468j),(-0.043617000214802366-0.06816466812506337j),(-0.003923416032680481+0.14849442758298295j),(-0.11085829429183396+0.06869991278123735j),(-0.10040920998020768+0.0588950541443035j),(0.012103510412458215+0.021494287569940443j),(-0.08594652659772843+0.08698963602862221j),(-0.09300959773753334+0.0966482035691826j),(-0.037277292430591254+0.00982863522963012j),(-0.051924127612522686+0.08125824292828306j),(-0.08074098468642611+0.08964493306733626j),(-0.07940573925171736+0.05080471864862652j),(-0.03625931835131481+0.05278507852981783j),(-0.05598295784315891+0.06451393609888025j),(-0.099996206382098+0.10076828260804369j),(-0.04966040373595017+0.043118047010128606j),(-0.04909759811869537+0.05386060564249438j)
Y_N_c,750,(-0.02673870674927516+0.011811693792954723j),(-0.0415465695093099+0.09298279158681814j),(0.16093520332711697-0.14161291462162467j),(-0.0008856241406039145+0.1452477620143902j),(0.08049752657020522+0.11446311662024845j),(-0.19298725660123764-0.17706178824999186j),(0.6003877018378965+0.13247874442641627j),(-0.642387137035467+0.15912165294324196j),(0.5153818074566064-0.2869325556857548j),(-0.0794236983561764+0.2944702423984125j),(0.02215991113154605-0.021996509468449506j),(-0.004479790647544916-0.0810244747916024j),(0.15615749299217813+0.12805902392020185j),(-0.006264434773177289+0.0002518576725155369j),(-0.0105401392160965+0.010820297723885812j),(0.10911467367787339+0.01651522811252537j),(0.03903390729084857+0.04897131934805397j),(0.018317689393927597+0.032550683620654317j),(0.020937912121819613-0.027828541206314186j),(0.08071566211723338+0.05566397285552947j),(0.04387281580955031+0.03345852887896113j),(-0.0007251189430894853-7.221542068167352e-05j),(0.05938218073422059+0.022616971739650073j),(0.059338604436832844+0.027726446334669898j),(0.020307713315806636+0.027547212741776066j),(0.030398200298603954+0.003441060363878541j)
Y_N_c,850,(-0.0006226413732838526+0.03004787644623603j),(0.08320711791720957-0.035573285620503346j),(-0.11705253776240426+0.002467781944977802j),(0.064083671054608-0.16511474910993876j),(0.0380819236684158+0.09225787459204451j),(0.017502552409325106-0.04516141385524456j),(-0.2438247155740432-0.18254282597267626j),(0.5812355022296072+0.05338300514290042j),(-0.6145969896383383+0.13565206344618577j),(0.41205617955793267-0.4136965064427819j),(-0.12957201265109844+0.24233498915607718j),(0.030578589376291505-0.059361153095997946j),(-0.027846086460982165-0.17569548907460142j),(0.1074492037307316+0.053358164110623024j),(-0.02930514257198485-0.023584457381429606j),(-0.0267859679545553-0.058245745592011365j),(0.08306737263288562-0.07507518027159821j),(-0.009354090855368855-0.004018154913692567j),(0.021516977509537107+0.002645724354275025j),(0.017752736634965727-0.09972428798096533j),(0.027762326438992523-0.022159495091386365j),(0.026234862771821358-0.005725178926756129j),(-0.008541886261238965-0.048741180215354j),(0.054496651773263786-0.054347736349123134j),(0.01998999092786697-0.024408519019230617j),(0.004761573518800565-0.011518387546763285j)
Y_N_c,950,(0.027064726968765825-0.011546122655365698j),(-0.014463095359648065-0.02547712799044399j),(-0.03715302051594851+0.04363711412210388j),(-0.03205556321278209+0.05192910645146602j),(0.006414700859030021-0.18104970821162647j),(-0.00833729710228457+0.15392161778657967j),(-0.010225013677275074+0.03025453202180922j),(-0.30209732227650893-0.1514992493895689j),(0.5269604699235313+0.015675034964574546j),(-0.6486436536629803+0.24171908971889877j),(0.38816143852812596-0.37841425951080876j),(-0.13286599689749498+0.2594147752548643j),(-0.061261138855380357-0.03059410755526582j),(-0.07765948477542753-0.09735867653848035j),(0.07451217993443894+0.062217828863765735j),(-0.06570938904656594-0.002486684716441287j),(-0.09848210322759433-0.003134898878165949j),(0.04047111502675829-0.025004925974270915j),(-0.04454834868511071+0.014999379105343458j),(-0.06569706157019858+0.01657504267618631j),(-0.03367923048466741-0.0362250874731017j),(-0.010323625067126013+0.011142959636245914j),(-0.0251025582206821+0.011010835271940422j),(-0.09128578761891026-0.011202553816727101j),(-0.00859066821871341-0.006483146630767369j),(-0.015166958723676726-0.00048496314793816924j)
