Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,1050,(-0.011837055946824363-0.010540393874015322j),(-0.0565879518210739-0.00542583469562521j),(0.028833462840951934-0.03177781081575346j),(-0.022630199229643155+0.061615564058390734j),(-0.09352205082994576+0.023686506315673955j),(-0.023472995929690765-0.12480783113988288j),(0.018045046050491204+0.02527637275179541j),(0.027030251225226377+0.03104382879927254j),(-0.266156867780308-0.10479117931080337j),(0.5251916272384278-0.018523694214138908j),(-0.5902576891821693+0.26787837659540625j),(0.32004480137080743-0.41177850634776175j),(-0.09453811440044797+0.285788755794118j),(-0.03944346598346643-0.050436705287886116j),(-0.05364253335122039-0.09022510949270177j),(0.07098480293898275+0.04687544986672342j),(-0.053644200932565694+0.013551688331084746j),(-0.04864339716834107-0.01942623584286114j),(0.021514683448037374-0.02767283922067154j),(-0.007588196296700722+0.029406092492534217j),(-0.039387142222111024+0.003936213345503407j),(-0.014815738057836456-0.022593365059051344j),(0.011825127940218713+0.0008636013931853824j),(-0.021156692739059832+0.01662113841279548j),(-0.023626799461119185-0.006898130854241397j),(-0.00355794166654671-0.012731917773565806j)
Y_N_c,1150,(-0.01216464239396837+0.0028923457234825726j),(-0.001321263106966611+0.01597196005297223j),(-0.07446259058744807-0.030752492175063796j),(0.015897862946031835-0.04785304740444949j),(0.003714545840726681+0.005656080809371262j),(-0.013246754511397599+0.01966352709616436j),(0.026186604588745287-0.08531670865075544j),(0.02728644463362004+0.09811983290582589j),(0.004505153661385128+0.02295527788825833j),(-0.30954619897203334-0.11134037668566683j),(0.5204058015212181-0.07126063526373846j),(-0.5506227306597226+0.29187267258774907j),(0.31746191997632056-0.4127701387195172j),(-0.06837656430786737+0.2538274574305478j),(-0.03229883973534194-0.041902858915555j),(-0.045729409963584815-0.10150417082215164j),(0.06932601933836713+0.042446381027547594j),(-0.038532710692449804+0.004105400939307137j),(-0.04698764536728205-0.024024957800096353j),(0.028283448739026697-0.03824579570046942j),(-0.0035623510879301016+0.01460170983417497j),(-0.031868290663216226-0.003645491565383762j),(-0.01698651269183202-0.03741853644737379j),(0.009741692554241971-0.0077157718680803695j),(-0.017128351952216708+0.004935569520029446j),(-0.024556291646768102-0.01705672834956743j)
Y_N_c,1250,(0.00786468820822931+0.011758070588498355j),(0.03725431999939994+0.016299800864890857j),(0.034735198719843645+0.06373876984418535j),(0.012046426716838731+0.004081998168128457j),(0.049985861075123775+0.036043037995486395j),(-0.012301280577735324+0.06591793998730511j),(-0.07095875367989472+0.050108809213768764j),(0.009826144935052688-0.10578299581979538j),(0.06757714791268148+0.07486481212457233j),(0.07285106499462815+0.069187355704976j),(-0.26923999801764037-0.04089315418912453j),(0.5200605665235329-0.048722903135928135j),(-0.4977056046528866+0.32481512788575684j),(0.2860707405446594-0.3752580471620511j),(-0.023528209284487272+0.2812038253145441j),(-0.025771386064020695+0.0009231642403715228j),(-0.01777585101433479-0.05960435905737712j),(0.08751904752129275+0.0661223863172073j),(-0.011261493886996866+0.045539992530336644j),(-0.024913804560291856+0.008842520137928208j),(0.04848237125799391+0.000411758099850349j),(0.02294091962855439+0.046492085518931595j),(-0.009313598975773892+0.03594962223329713j),(0.01224305923123808-0.0017725904047633803j),(0.03352451501527828+0.022591079050114145j),(0.010418671271703378+0.039179058229611846j)
Y_N_c,1350,(0.003684076462378076-0.006081848002682292j),(-0.016836927776233065-0.0322407639602354j),(0.0138969621120243-0.02559085582199615j),(-0.032384194234217845+0.0181820773830528j),(-0.02492818080599315-0.06088702017881435j),(0.039846697421795044-0.061945887636101j),(0.048742787998668394+0.00016183074515908785j),(-0.011553528395195604+0.02770019625449719j),(-0.011949284116716924-0.06362869759919841j),(0.03566976232733688+0.05711983274545813j),(0.02683379163062495+0.012045735200963947j),(-0.26674109451669553-0.08206771001541475j),(0.47338714940492566-0.11910998081277069j),(-0.46507233521793695+0.31570324968938557j),(0.24165117425210497-0.42390814409952754j),(-0.014027784572211403+0.23842575961806678j),(-0.03433997359593477-0.045588662913305086j),(-0.04086635352569642-0.08929760918498642j),(0.07512284480093691+0.01752556352827563j),(-0.02835660597220522+0.008867871535493881j),(-0.037279629305565214-0.027571238313303922j),(0.026183397800102176-0.04000603963720677j),(0.012392355985604734+0.010945309228002261j),(-0.025380976795014464-0.0037110372006701796j),(-0.007472282490611748-0.033961778560333764j),(0.016490276617629022-0.014499428864330602j)
Y_N_c,1450,(-0.0011950371697640996-0.0036268164828736254j),(-0.010972873767136945+0.0029760120189706147j),(-0.011481750033179675-0.031467502656866396j),(0.02114489534392796-0.013470475583107237j),(-0.00742911105732818+0.02271148153268189j),(-0.017067125842422384+0.010025912901385839j),(0.008123200292281616+0.001042501988685879j),(-0.03415174217198521+0.02501324302358818j),(-0.03139552418112942-0.021447498381942605j),(-0.016699120939755542-0.12235935028017442j),(0.07103260885876353+0.06266611932879322j),(0.026967025013898558+0.02297268469612312j),(-0.26523949076054043-0.02299664453234794j),(0.4567465524042753-0.1397474294345732j),(-0.4435938473221816+0.34039505107091045j),(0.21957887371583418-0.41589630138420786j),(-0.020184419972789962+0.23826191469332697j),(-0.02750797764023747-0.030012174751156764j),(-0.045634890433241905-0.08052290081021889j),(0.07810756139980593+0.026545247303061747j),(-0.02476042865453266+0.012275138133519015j),(-0.03432752740630207-0.014592574479377925j),(0.02738459795703165-0.04039707582438778j),(0.009601587081961892+0.016041364664424844j),(-0.01918922084425793+0.002416198281435857j),(-0.007101258425246547-0.029083618210979618j)
Y_N_c,1550,(-0.0037101651025851956+0.0022127702318918228j),(0.004637272612741812+0.02813343674754992j),(-0.02059489507444031+0.04416158191323068j),(0.007326524128226458+0.004734460954709517j),(-0.00801499510894536+0.022767469327430713j),(-0.03077614890820951+0.018720739528535528j),(-0.035533289159072196-0.036840400765704204j),(0.05550135019999766-0.01713755539807771j),(0.019538928565071847+0.062020521919768874j),(-0.020406815266798113+0.07889262663064478j),(-0.04513779089500566-0.0711923095585841j),(0.03921660695167152+0.08480334574580745j),(0.039611688939913216+0.017503707307137226j),(-0.2678525282767231-0.0009345710374599319j),(0.43858148738719466-0.1272083142479204j),(-0.430564322070602+0.36338815083080633j),(0.19623866989565106-0.3738225112916653j),(-0.012194649354335984+0.24561941410577454j),(-0.03725833990127237+0.0032592483582325905j),(-0.051731654480391506-0.059116611645047286j),(0.06421503736903736+0.04857551320881988j),(-0.02691081715971114+0.03653639496542491j),(-0.04801349373487829+0.012433806804088794j),(0.022175750457482855-0.009930581326655849j),(0.0027170195503894382+0.03733391567681867j),(-0.02606010507490135+0.03060545486461509j)
Y_N_c,1650,(0.0014861297823814922+0.0009869739300093839j),(0.012641462837343574-0.019717355425610684j),(0.028321604399550473-0.014590809332473382j),(-0.02116646946073037-0.0031334830698930873j),(0.035643326013489365-0.020210817651466893j),(0.04636488644808359-0.0102655379709134j),(0.020992165491594165+0.048321667546548215j),(-0.022958431923767734+0.000416372743164987j),(-0.007901488782129486-0.01953402315894914j),(0.00041700835225427335+0.0005255267123082154j),(-0.00016902338670344338+0.006956493715481296j),(0.008105914174860939-0.09369444367625505j),(0.06286666137250008+0.058259546942496965j),(0.045503646871840574+0.016102362185679994j),(-0.24107454573930417-0.016864546185955325j),(0.4354693670322409-0.15124499534882585j),(-0.37150720469891513+0.338894841534158j),(0.18322434695358328-0.3912354299216278j),(0.02104331285784948+0.21271549578429005j),(-0.021421070144281292-0.018955777078923434j),(-0.030418546853975284-0.07359070730450205j),(0.07986157663623676+0.017194005314769126j),(-0.0039195592056341455+0.019192500548785258j),(-0.025807788305333243-0.014791805942638512j),(0.0350909438633055-0.03256734486729414j),(0.023546406512232918+0.011289828481250765j)
Y_N_c,1750,(0.00036871358586706765+5.6071469346644434e-05j),(-0.005199535858482133-0.007744016163122626j),(-0.0008051154342296501-0.009561798086674603j),(0.01080226676111612+0.0014043980613819079j),(-0.025429979092272546-0.005485385542566219j),(-0.01708310904391635-0.00036974703795102j),(-0.0030848018397909667-0.016756026660862153j),(-0.017588077815191703-0.012615668552955253j),(0.027912841885735257-0.038441543703389404j),(0.04857743598869948-0.03206415601236625j),(0.006914544876117573+0.05136331055347948j),(-0.02780499549541656+0.022080805102471086j),(-0.04626817425900592-0.08443025931940727j),(0.06487558681200505+0.04428103561563767j),(0.030667455696681865+0.005583882136350367j),(-0.2304941623697357-0.006444775858144272j),(0.3929412864417518-0.17485137493192457j),(-0.35495809101928977+0.3487234948293462j),(0.15497405720660895-0.3868635825035415j),(0.014658692076522935+0.21265620802411928j),(-0.02704839329066579-0.0207932251459868j),(-0.04437096547208042-0.06633932897042162j),(0.07433567287843469+0.012386561831095311j),(-0.016860001420455344+0.017933634475433908j),(-0.03127111259578656-0.008879742738527997j),(0.023760774942205756-0.031901641685007434j)
Y_N_c,1850,(0.0007102052216992428+0.00014789827553118994j),(-0.015143033125766994+0.01327076274372677j),(-0.025760336879224507+0.003683120017627492j),(0.005345760721334946+0.004794640039289824j),(-0.006297030984345567+0.00467593367859379j),(-0.018578192136455444-0.007849791588122145j),(0.008859143354659682-0.019819954399487905j),(0.022922824392357037+0.029007015588762175j),(-0.04024545252975686+0.050109518707467396j),(-0.059913682007291996+0.013138646610708675j),(0.0017123178420629874-0.0481268417584791j),(-0.01300399808328917+0.018965090031524565j),(0.006586540294070043+0.03278253093734117j),(-0.047169527435677566-0.07269822851841466j),(0.0509095917812071+0.06871037592291203j),(0.009175791033929011+0.0012539112313243667j),(-0.24239984060832434+0.025372206496710903j),(0.369799379482594-0.17490166646177152j),(-0.35250274163834494+0.3577016057325508j),(0.13385945077580313-0.37361353633128264j),(0.003251969450765803+0.20839369224112791j),(-0.03613986937263779-0.007380382615749604j),(-0.06364168325234511-0.06136440946857939j),(0.05764006494310411+0.02399413370212868j),(-0.02696196444304477+0.021560922765845793j),(-0.04699528017056886+0.00027796573682383266j)
Y_N_c,1950,(1.0874975030403982e-05-0.0012970922230446037j),(0.01494603439371735+0.0018317064094613038j),(0.023258437393732616+0.011578866066305147j),(-0.008941626718269487-0.007778440611723582j),(0.013734122356395371+0.017406463093315172j),(0.026346502182335908+0.017985547289386526j),(-0.022111059532536843+0.023336077584684634j),(-0.007177508719960781-0.016753002314138482j),(0.009963181260510583-0.030202352462450673j),(0.021363558036622415+0.002051168075718627j),(0.01064916808331939+0.005032033276565734j),(0.04409254437732049+0.005234991963467935j),(-0.004835324344659939+0.03124591091179299j),(-0.007193136904690855+0.030983866899554423j),(-0.026189262059793248-0.08269033676781846j),(0.0669030156226776+0.06980200276450918j),(0.043731677024547284+0.007985111308968812j),(-0.21841032104040142+0.026154827910636343j),(0.37631115087335676-0.17426320649661328j),(-0.3134979639761395+0.35394601776441126j),(0.1341247107506509-0.3536608063033153j),(0.03027523765072728+0.19851460426788473j),(-0.018110427610375363+0.0038531010427651047j),(-0.0361158375022082-0.05652043234539187j),(0.07195177094754113+0.0232698696000647j),(-0.0015939240784034175+0.026362283817513488j)
