Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,1050,(-0.011837055946824363-0.010540393874015322j),(-0.06616651287439566-0.0035675617598856222j),(0.09586667335259713+0.0018064336556722464j),(-0.06102442583220602+0.039080245260471755j),(-0.0706332695356522+0.07483823107755365j),(0.012666991174918553-0.10922263166086163j),(0.02788018025534419+0.09888595150623887j),(0.030498402714781173+0.04000551825466244j),(-0.3030737492437714-0.0643900447915125j),(0.5596511724998912+0.005392407836967057j),(-0.6039784762606153+0.2829124979511805j),(0.3200307152544415-0.40543305566862525j),(-0.07325212252393201+0.31043134601787986j),(-0.011007944989788673-0.022571966145798927j),(-0.05590064106756482-0.08575486251800804j),(0.07634460828853036+0.083057961467756j),(-0.03583660781260473+0.019010301837609867j),(-0.04932540804384962-8.220688597669185e-05j),(0.04165501481270334-0.026060915938525914j),(-0.004474533877274716+0.054739605548716395j),(-0.016417364908547543+0.028304961830407586j),(-0.012853229911688682-0.034596155462610995j),(0.011432713527532338+0.019447438512116152j),(0.005029756861745549+0.03685869438101418j),(-0.027307555532051477-0.004614809532653016j),(0.009129452051116052-0.004803592821071243j)
Y_N_c,1150,(-0.01216464239396837+0.0028923457234825726j),(0.03379298578530809+0.02873862887716393j),(-0.0814274279932014-0.06944686180376186j),(0.06858132963409146-0.043568415355708615j),(-0.016171549308521185+0.004533519371523508j),(0.0038959122508065193-0.0073349291181871255j),(0.009907111825721049-0.1267231229305228j),(0.03607978197350734+0.09797921227878272j),(0.04225451397580891-0.003970993006468825j),(-0.30083368790423476-0.12781465731590913j),(0.5414097827059949-0.08228956745606754j),(-0.5364908718293981+0.3029141986948433j),(0.33589326296125144-0.44133343326195484j),(-0.07346931987877217+0.25311913240145517j),(-0.021724885092329206-0.04214142691997657j),(-0.04066596653611605-0.10991771730645793j),(0.10089278911910227+0.03965272282426091j),(-0.032073776237759685-0.007494647676432976j),(-0.05007462162939862-0.002737284464931188j),(0.06602430419530307-0.0551618865172595j),(-0.006280210552188589+0.010320815423461473j),(-0.014324239353653904+0.014678750227545308j),(-0.005803952949117116-0.04500580762871588j),(0.02872089875187376-0.00226113993688339j),(0.003421342097999316+0.005873757546298954j),(-0.028167219484349255-0.009084708438529505j)
Y_N_c,1250,(0.00786468820822931+0.011758070588498355j),(0.01750214918983592+0.0004685082170532212j),(0.0013152311559471537+0.04871781832804919j),(-0.014588846856244033+0.02483019866872748j),(0.09209129223907254+0.002774642509351071j),(-0.05702241029876318+0.06126169801337369j),(-0.02221788254125735+0.05175923223291936j),(0.004341446171852129-0.11518108940652233j),(0.0737043087538993+0.10084518571170056j),(0.047462883652644415+0.04809294701090856j),(-0.2804659667949531-0.03200393200610354j),(0.5238044729195688-0.06508835171755328j),(-0.5295734035258224+0.3221975718844644j),(0.2938341180543978-0.4021339680004913j),(-0.027049769831420493+0.2770090162955355j),(-0.011736780189399016-0.013552466776647754j),(-0.05713245506358686-0.07666325779437631j),(0.09033963468977387+0.06675468270619625j),(-0.010861320135097163+0.015218786885637924j),(-0.052305277394005305-0.0006505098427682019j),(0.05080515004301111-0.022036167239007406j),(0.004933653000222399+0.03360271155476855j),(-0.007230590933220735+0.030526258449348972j),(-0.01055262281271269-0.04001349239482968j),(0.020142095739495706+0.02003771758179367j),(0.016087179751519888+0.020670650301963016j)
Y_N_c,1350,(0.003684076462378076-0.006081848002682292j),(-0.02160891541737437-0.040942910283411335j),(0.028008693462280815+0.034819943811935684j),(-0.041246401873026174-0.02093413151082161j),(-0.07269422053461624-0.03238044568019622j),(0.05901638434723319-0.03328003728398564j),(-0.023055557203853078+0.018528388947086832j),(-0.014778170329674262+0.03357396347498609j),(-0.058573857467632-0.1072240974191758j),(0.040137809353679346+0.09577570535194374j),(0.023336828563211627-0.004458205666541243j),(-0.28743804430283376-0.07829567469607965j),(0.47931666692371777-0.09689768383184107j),(-0.48691465835672626+0.3439824515710749j),(0.23594576426348665-0.42204437887607865j),(-0.04524916232832186+0.2464767290792697j),(-0.027779666971720043-0.029065649463071854j),(-0.055699375403414415-0.08829345133383364j),(0.07655351354895666+0.035570473292309876j),(-0.040850815633051325+0.017331717682393992j),(-0.050350763598325056-0.00010398858273379921j),(0.03640091313456611-0.04456053926823477j),(-0.006445411831921942+0.014868893595102064j),(-0.024569100899696984+0.028012409158760746j),(-0.011991455069640444-0.03993363985992986j),(0.01038040720316245+0.0011718195180699157j)
Y_N_c,1450,(-0.0011950371697640996-0.0036268164828736254j),(-0.0036501250366634624+0.033236492964760146j),(0.009986021866633239-0.07502624865948807j),(0.04932597884831228+0.01782706425428925j),(0.007925810717173964+0.00515204057631579j),(0.0024960892868755493+0.0004008922127384911j),(0.06310607268300479-0.025128257709678394j),(-0.031018679043586562+0.029112792509642473j),(0.02049459617567231+0.019995789210493855j),(-0.00225484184032187-0.13676437852693832j),(0.08186892510412921+0.08654697389060384j),(0.0397596096211924+0.02493614790781445j),(-0.24387777869343713-0.02851412139153147j),(0.47554961375591703-0.1522870081509558j),(-0.4386542571737755+0.34177002012660485j),(0.23922039430052947-0.41193637671339706j),(0.00047765102404915026+0.2477748222613046j),(-0.01225244558895024-0.028082695848034994j),(-0.05665342274389535-0.08204466482860016j),(0.10679763216209909+0.0393426470304855j),(-0.014174301240766615+0.0001247630780389018j),(-0.0387035829119462+0.0032465811901740676j),(0.04388130008506358-0.03913614869583585j),(0.013224259164077266+0.02035586639791093j),(-0.00571629891692552+0.016344560720816765j),(-0.010400415568381898-0.037427592418175316j)
Y_N_c,1550,(-0.0037101651025851956+0.0022127702318918228j),(0.004954063128644901+0.009000159772827617j),(-0.03529700845389829+0.03527578601774034j),(-0.021623480015750055+0.005065191064758283j),(0.013919066533951521+0.051082423751899655j),(-0.054172982009301936-0.007397072495384606j),(-0.046730950837688016+0.002042525535425916j),(0.05910294920175833-0.02366016515919331j),(-0.021206052212135625+0.0619990407776985j),(-0.021500351245687138+0.059927094341497705j),(-0.05797849746480694-0.09063148388878736j),(0.046250406176232876+0.09814894339026979j),(0.023098509410625495-0.003725499793035558j),(-0.26439668951701223+0.006255673027433457j),(0.441324923512367-0.12662813929734337j),(-0.42785121361744183+0.36965131213413993j),(0.18269299902606603-0.40017667291426195j),(-0.01836361108048428+0.24655057376960055j),(-0.018440620815413845-0.00033550343375157526j),(-0.06328645870997382-0.074876497265001j),(0.0726878643047282+0.04905917859874349j),(-0.02772885171588769+0.020968762913095646j),(-0.048809863707076455+0.017933114870634592j),(0.036268816634251876-0.03505383003833253j),(-0.007880902238705755+0.029645402608146167j),(-0.01120031357283159+0.03583335248247203j)
Y_N_c,1650,(0.0014861297823814922+0.0009869739300093839j),(0.01857969963089334-0.028683338673392015j),(0.0007202367971963689+0.017622415836513864j),(-0.0027687420246299767-0.032410208239065555j),(0.007039746730161905-0.060171888700135595j),(0.04401078450961717+0.020129753162673326j),(-0.001669573276933695-0.0026596628067715104j),(-0.02807535039608128+0.0009667885657059005j),(0.029308000535965464-0.0661936960457623j),(-0.02415712320688787+0.02276927420054052j),(0.016792243009977666+0.012628429158073152j),(-0.008866236254559238-0.12269909765485405j),(0.05550638773023987+0.07986244698997955j),(0.02355427824643524-0.0025801427122419274j),(-0.24831975459945582-0.02064348332499855j),(0.4291015752468679-0.17719219334617503j),(-0.37984481920217955+0.348683379730647j),(0.18281142782545098-0.40013608022961367j),(0.006612019739710779+0.21402283864723162j),(-0.027537008817043445-0.024697487294635192j),(-0.053541740122518625-0.07760464415681012j),(0.0878379462626292+0.020722957579445672j),(-0.01231353873120951+0.0018052540843551137j),(-0.04788247699307702+0.0002928520722025795j),(0.040692201556177185-0.04156577665248465j),(0.005870964926265961+0.008144917804726173j)
Y_N_c,1750,(0.00036871358586706765+5.6071469346644434e-05j),(-0.023424126796568086+0.011449828158232478j),(0.0470261339081911-0.019686445325587158j),(0.010278638002847316+0.03450643276206311j),(-0.008384537346315358+0.017235296654792186j),(-0.0018699181390351568+0.000713050661726383j),(0.026754192167372532+0.025922911662375127j),(-0.01858380101161425-0.009444838572264627j),(-0.001720256256037749+0.019330338010529736j),(0.07284111990735659-0.03320205630640396j),(-0.01514383019586578+0.057637738639821884j),(-0.009763487345522206+0.041090505728982415j),(-0.03175477512911897-0.08218098332242492j),(0.08767150187761949+0.07000514296105735j),(0.03593271956516867+0.006672390619613413j),(-0.23330725894647653+0.019136956951985567j),(0.4055321563475827-0.1558095660945588j),(-0.3549690286130104+0.3612046292874232j),(0.15837760537927834-0.39015838561699395j),(0.02028964032967781+0.23357809420764777j),(-0.008541108151604658-0.011662861678235983j),(-0.05637055455941198-0.0606094198467699j),(0.08153942423511304+0.028366021927983508j),(-0.011560771471085092+0.01850990328355252j),(-0.03410475125170448+0.010425656242270808j),(0.03545675705469001-0.03612570184175308j)
Y_N_c,1850,(0.0007102052216992428+0.00014789827553118994j),(-0.003476073776700132+0.005102424767897045j),(-0.044763123278404864-0.008875011529308816j),(-0.013602742055516625-0.009918815119421063j),(-0.025005439159216+0.015308648175047578j),(-0.016994185194288774-0.03481920501404043j),(-0.01545864683057068-0.03246597462750939j),(0.02839949259128716+0.029047243344498954j),(-0.04105781414016577+0.011866686460678863j),(-0.05605120953052402+0.004918596159246793j),(0.02214927559441697-0.05949986494179052j),(-0.03528276434286997+0.02980385464194477j),(0.00988890392980019+0.015439069215771367j),(-0.06427932857015088-0.08368146337869807j),(0.04993999966496588+0.07497192890050784j),(0.007416588745994191-0.005550941713275795j),(-0.2418043760045594+0.002916646503027185j),(0.3708743916350015-0.182902863133259j),(-0.3509325594848228+0.3676006759500543j),(0.1331500432889881-0.3855740858141083j),(-0.0015720391045259633+0.20765039737831137j),(-0.029168004902325628-0.0150252266076667j),(-0.07096626873977516-0.06171262912563811j),(0.07303418698299959+0.02395117932555355j),(-0.02935009208543482+0.007325701306578533j),(-0.05126012670559654+0.014350169080773696j)
Y_N_c,1950,(1.0874975030403982e-05-0.0012970922230446037j),(0.026165875510245427+0.0021812211427613306j),(0.0012757349868273893+0.010761790145909425j),(0.01872562162615156-0.014666444870295222j),(0.044394318948379585-0.007531782031630604j),(0.006896845340812656+0.03646913156899613j),(0.0006570907558998202+0.008348235283887947j),(-0.009747535212343684-0.02008112421629293j),(0.04726763926874623-0.010057516925298585j),(-0.00334364635796502-0.004712272918418671j),(0.00040732267772915985+0.018504223421362202j),(0.06895113855034211-0.027150780614577444j),(-0.024328021446851675+0.03807667439199268j),(0.012223683912147695+0.015606852773298445j),(-0.028655432942661117-0.09254214719940566j),(0.08764872407435215+0.06619474379041534j),(0.037973268860908856+0.004681592488223771j),(-0.21582746950129594+0.028309993689757573j),(0.3773244454815683-0.1864853512087219j),(-0.30985397262232817+0.34880634663554866j),(0.13428316032536836-0.3685210227374315j),(0.033885704045128334+0.20424160833609767j),(-0.006114495211736711-0.007920668474046466j),(-0.05362498058663607-0.06481097063086669j),(0.08342833446694796+0.024566924763797716j),(-0.0028641877855362413+0.008912336791297822j)
