Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,1050,(-0.011837055946824363-0.010540393874015322j),(-0.01900272231621428+0.004756026582263431j),(0.11304258748626746+0.003702335306895454j),(-0.055039926456507335+0.04463364267363625j),(-0.010554936534440963+0.0892602814652036j),(0.04773342188414657-0.12718487649462498j),(0.03319909996413508+0.10470715839823698j),(0.05422894392760263+0.06352215359327582j),(-0.2760384957397411-0.06694044121047134j),(0.5861273710059808+0.0007288356186876442j),(-0.5914013810471411+0.291338807300786j),(0.3598400290917589-0.39730401409461885j),(-0.042832722586121114+0.3039704434939399j),(-0.006405544423424497-0.023513321196115763j),(-0.04064154876632556-0.07544695769004352j),(0.1096608894663399+0.10030711131594885j),(-0.008396063099220074+0.0056479334577423206j),(-0.03841496732582889+0.010251984437352384j),(0.060681205451515674-0.016497368219297308j),(0.02490013277367611+0.0562737671003826j),(-0.0022203310824745162+0.032515592450119306j),(-0.00046080008679060165-0.038629212962145394j),(0.03626305239189795+0.03864598509585099j),(0.0289893613616487+0.030056493932342984j),(-0.016552110475354626+0.0007278844487897482j),(0.022799046464477404+0.006037195215377553j)
Y_N_c,1150,(-0.01216464239396837+0.0028923457234825726j),(0.033229206372082216-0.032720126869913164j),(-0.08003364325342022-0.0390323068018903j),(0.09059956569144742-0.04251882004992025j),(-0.008193016442475389+0.02316750436866177j),(-0.028432694897093175-0.0033762453797453037j),(0.02473747592694403-0.11485173652103253j),(0.03869247353950046+0.09512376542413255j),(0.0620307143454982-0.029265859235818096j),(-0.3055272683277307-0.11435846696096255j),(0.5465428458742421-0.07415732406590247j),(-0.5193121304255016+0.31790857742955275j),(0.3156681437935261-0.4499936544150611j),(-0.05764978200210409+0.25479645019709296j),(-0.01168475527238258-0.03708659873347002j),(-0.02912901198409091-0.12926445221815336j),(0.10393056362659295+0.05169338810229505j),(-0.02795788903738129-0.006705411381543287j),(-0.03222969483946611-0.005008331818277001j),(0.06579398934550644-0.0674359825126095j),(-0.0016064512198002395+0.006763286770388096j),(0.0026335714016437993+0.029470938576108597j),(0.006650543019445434-0.061442789017276074j),(0.030788549040112398-0.005063146464905799j),(0.011720370368297666+0.00627839640272692j),(-0.016798615971895137-0.01557963914216102j)
Y_N_c,1250,(0.00786468820822931+0.011758070588498355j),(-0.024293862621886344+0.028312181098239107j),(0.0013099387409899763+0.006407559850456454j),(-0.03493948370440934+0.014235939806554953j),(0.06600505675016337-0.06329477123775969j),(-0.056196676203246074+0.06125581182796376j),(-0.027503875007561907+0.027789931053122715j),(0.0017588135572225623-0.1408553215266819j),(0.029751435866330726+0.10916279722692j),(0.039147708268749325+0.024394143652994835j),(-0.28481102264569536-0.05295424380337936j),(0.4948631648734045-0.11510039806943143j),(-0.5335420141108873+0.3256763194250235j),(0.27827874838996136-0.4086971596019634j),(-0.03617980396397974+0.2542900474070474j),(-0.039433076645349965-0.028427068591327827j),(-0.07937931615034435-0.09608072624549914j),(0.08822158176066001+0.05229380990946249j),(-0.03299662473869673-0.004371585172567483j),(-0.07184891850525292-0.005353313570583675j),(0.04023691238320643-0.030133980055866715j),(-0.01442664229748344+0.010466509874575284j),(-0.02729465359416622+0.01593020217182562j),(-0.031039240796612442-0.04580935172231824j),(0.011118282681606266+0.00811754040692866j),(0.0027515698795304725+0.009380354553467349j)
Y_N_c,1350,(0.003684076462378076-0.006081848002682292j),(-0.006125786594049521-0.015500395099728354j),(0.02902892233513128+0.05793576528993254j),(-0.03964253107021254-0.021502386512636418j),(-0.06516900240411774+0.02665627889948672j),(0.08269752066459818-0.020503506888539677j),(-0.02979772078360818+0.029383831492715257j),(-0.024120928075896355+0.05873358649959319j),(-0.04267945648440626-0.09879893584087208j),(0.05104724830547404+0.11626553754512665j),(0.023005844090274636+0.006655307251611716j),(-0.2782535696982225-0.038179553160164074j),(0.4935372510651701-0.08275793714849282j),(-0.4845153743022375+0.3434103319154129j),(0.23404414696237485-0.4069151020639283j),(-0.04173187915566232+0.27443587466670005j),(-0.006757532772205332-0.012000777100821767j),(-0.060302170109243124-0.07746293598391432j),(0.0784179976766555+0.05183521882139687j),(-0.029847254395007725+0.03579134618178208j),(-0.04724730348718258+0.009747374937510376j),(0.04549268441645488-0.03646531070118769j),(-0.00943849723228078+0.03835363705969643j),(-0.008668979125225483+0.04034516397910148j),(-0.012125556524766361-0.03140804756650596j),(0.009071088974513513+0.012857264814066113j)
Y_N_c,1450,(-0.0011950371697640996-0.0036268164828736254j),(0.030237367459848407+0.009439476649074106j),(-0.006663878399337951-0.07186014677106686j),(0.05631641111411943+0.03678472183260133j),(-0.003256240505980628-0.001162392932620199j),(-0.018093703206092066-0.01888094212111981j),(0.06142529140574087-0.01858028530267713j),(-0.027946571731475633+0.02511269410821952j),(0.043128096868501394+0.026180265277594796j),(-0.015201151599332628-0.14155191861605457j),(0.07525623526180132+0.09297291370572058j),(0.031021296739973666+0.029782711317830127j),(-0.25016076901486484-0.04801768581195148j),(0.4800008904250912-0.13983887032787776j),(-0.44068956174174234+0.3468348293397749j),(0.2532602981289882-0.4135371336899189j),(-0.012642576104833396+0.2481361361548336j),(-0.012894037021441845-0.02686786411287694j),(-0.05094779502621866-0.07356205116393497j),(0.11086173037519646+0.03128618676468004j),(-0.012955378806174445+0.0008821400425774793j),(-0.047138162258857766+0.01797437003481879j),(0.05767652762174355-0.03988544874302558j),(0.01085712275732259+0.01771124756780439j),(-0.005267888417383898+0.02051676051661683j),(-0.004809521541158528-0.03355436416251411j)
Y_N_c,1550,(-0.0037101651025851956+0.0022127702318918228j),(-0.029368105621709127-0.003471100162363725j),(-0.004543106318619299+0.022224948082264412j),(-0.026021861132424256-0.013348431831703476j),(0.05550610967189488+0.022740605665294133j),(-0.049270136325930386-0.003944030598253426j),(-0.030225089226349193-0.0032968079003814744j),(0.07590304480720785-0.03007532686008219j),(-0.04799054322203261+0.037011924917344584j),(-0.004752016847058948+0.050236832854646724j),(-0.04321329845168598-0.10132689907891557j),(0.07690052113621831+0.067372485951681j),(0.02191302378960701+0.001199535509223673j),(-0.2672764858062962-0.005945923317962709j),(0.4556936064383476-0.13797377700682342j),(-0.42738939251180985+0.34661599672731724j),(0.19279945990570835-0.4183734205961839j),(-0.007243934666752571+0.24238219589923252j),(-0.012579951348592666-0.02009680199760042j),(-0.06578924329202143-0.08560298314154638j),(0.07569692247276572+0.04024152268920725j),(-0.015481558911113276+0.0006088321031200505j),(-0.04564763808807423+0.001522373326626008j),(0.03437787511362295-0.04785111465528246j),(-0.0011988025515161892+0.021277103216411995j),(-0.007224080868298743+0.02452306066615517j)
Y_N_c,1650,(0.0014861297823814922+0.0009869739300093839j),(0.011909961271231253-0.010082328780735686j),(-0.02314665564935688+0.027660893469347265j),(0.0034680631121477134-0.03278987925630152j),(-0.042201147818758174-0.03807219414880924j),(0.04460575482225963+0.03950329275534059j),(-0.01665710908278462-0.0077612018914257445j),(-0.05045316372067597+0.001704266171520271j),(0.03599620549545015-0.05406977314142727j),(-0.03908176796458642+0.037193865281121834j),(0.008834929513724641+0.017337194845705485j),(-0.042248275615994785-0.10172422659698493j),(0.05157663486132928+0.0919327029014394j),(0.026947926654017476-0.00292969272731636j),(-0.2613685147414964-0.01696008201722999j),(0.4117579307155747-0.16306157783708977j),(-0.38777842359434544+0.37069612597788026j),(0.17215262611755094-0.4005457176059836j),(-0.004105273823822749+0.22084835695964877j),(-0.03585866112673711-0.01089789897356797j),(-0.059155894327881105-0.07141728931806457j),(0.08381285495153756+0.03103596294043953j),(-0.03014553317275794+0.00835392859224603j),(-0.05005081223644916+0.016290247823985235j),(0.03384672234716715-0.039139869199470836j),(-0.002320781393252639+0.011636328063397795j)
Y_N_c,1750,(0.00036871358586706765+5.6071469346644434e-05j),(0.003389968558371222+0.023107536914999897j),(0.04769555713225792-0.03052096886956098j),(-0.002663500626097938+0.04931606352450322j),(0.005824181569076924+0.004910706923087327j),(0.0013105014757336777-0.023047189621963976j),(0.028095089297668963+0.02887133782623136j),(-0.011396578721452276-0.008945574502759535j),(0.00032409000897763967+0.03937149814881298j),(0.07649846158011145-0.04622387559924391j),(-0.023134895213642235+0.054180545074430826j),(-0.007328226680929504+0.03191827642680805j),(-0.020260725875856183-0.096075413367891j),(0.08006337174917828+0.08021239817502021j),(0.033689020578525956+0.005472658553178916j),(-0.22710522350288667+0.026236796810923783j),(0.40423084195501474-0.16970969337953026j),(-0.35490655370532226+0.360582666771313j),(0.1559243886021755-0.3836903279997531j),(0.028212045731223892+0.23082909045781996j),(-0.008716211439331914-0.011975026380535103j),(-0.06893633696397233-0.06388361121277777j),(0.08855858715876877+0.03635262942712488j),(-0.009911479710531789+0.012890878951918356j),(-0.03615805515773077+0.01129123919949123j),(0.03468091979697118-0.032393509188896816j)
Y_N_c,1850,(0.0007102052216992428+0.00014789827553118994j),(-0.009894651514373968-0.02197856393779968j),(-0.02766027957824995+0.009131483758941093j),(-0.003752653009846531-0.02370098135673489j),(-0.0006832541889214058+0.04072191951554283j),(-0.016830829778621062-0.026818781932755484j),(-0.01129233311817689-0.021639272274662034j),(0.03591281225233858+0.03963568774365662j),(-0.03661691620622724-0.019487402691875183j),(-0.04606527726311006+0.016486655721687518j),(0.03656160615955517-0.05240047556911383j),(-0.007665169971572116+0.0471568712821075j),(0.0032975553515535473+0.01999874815388434j),(-0.05816200175781922-0.09280455861596039j),(0.061763588855371435+0.08312810868724321j),(0.023867709247975773-0.013145049698818917j),(-0.22749869061459677+0.008321052692687412j),(0.37716382037454127-0.1749595229774951j),(-0.3368569989606783+0.3648268657711745j),(0.13782736461162567-0.3889475291861615j),(0.005904917999986692+0.2072978419547899j),(-0.010332975233532849-0.011068493793439611j),(-0.059452680579740534-0.06444618168132077j),(0.0796117778717384+0.01978420297557268j),(-0.021481533819319623+0.010397271972351494j),(-0.0421044721941726+0.01409126510509235j)
Y_N_c,1950,(1.0874975030403982e-05-0.0012970922230446037j),(0.013012351085380255+0.006468889059725374j),(-0.016892897337512914-0.007333380320566217j),(0.024835638336659895-0.007746674722151935j),(0.014743074755156363-0.04410726373799002j),(-0.005945117476923397+0.04367164660861722j),(0.002362984378485925-0.008328348845612758j),(-0.017191996216230465-0.0375676494726142j),(0.045780085745167357+0.0020978427871432034j),(-0.019547852918563265-0.013931272786080811j),(-0.006929750982556778+0.014913542110670634j),(0.041503792072048885-0.05102704690172244j),(-0.032080158242253846+0.038385676900948705j),(0.01646570524871498+0.019050835751203664j),(-0.03614080581043275-0.10237244995654449j),(0.07034918682830033+0.05986742717280456j),(0.018072414383854485+0.0034546831967572906j),(-0.21937884292903748+0.018855705545993237j),(0.3698530002340827-0.19208636186113942j),(-0.32203632286333006+0.34739761404576j),(0.1270808026953343-0.37010109766350546j),(0.023992916894284108+0.20332859564381575j),(-0.017484670911597677-0.01890510184434411j),(-0.0654397508162013-0.06047222526551327j),(0.07906856079098458+0.019413390310729212j),(-0.008571473371651029+0.00443140075708641j)
