Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950,5050
Y_N_c,50,(-0.0021213817268195805-0.0002824242371493621j),(0.08592627282007129-0.01793688395270753j),(0.08181683257347337-0.018768241317570634j),(0.08528977933501983-0.01913639297810104j),(0.0827842837890017-0.016682530735982998j),(0.08440434718651994-0.020436870238452434j),(0.08368953404053148-0.015338403029315566j),(0.08409050721146277-0.019100100307087944j),(0.08384654605070321-0.01686917311867524j),(0.08422527166299337-0.01669744996234094j),(0.08322788624172214-0.020995546271545516j),(0.0845216103394653-0.014652682957080504j),(0.08283378192205292-0.023206314344362843j),(0.08460042168397516-0.014257648298481944j),(0.08331305150480785-0.02093781217858173j),(0.0841084181373321-0.016652157037188177j),(0.08395701121444447-0.01784448701347507j),(0.08371433279780963-0.018418561710621097j),(0.08432828506835237-0.016085912694052996j),(0.08356169791731255-0.01907797898232272j),(0.0841428028841877-0.01693046186283987j),(0.08359009775796346-0.019068140474226333j),(0.08396112073829347-0.01759321605760277j),(0.08382756328826284-0.018275285725720906j),(0.08388912697335225-0.01773237808030791j),(0.08381661676235165-0.018539947436339417j),(0.08391620475748439-0.017516985459330885j),(0.0838297673995802-0.018402391342909087j),(0.08397611482393633-0.017287740570576603j),(0.08387966805582184-0.018015381998010793j),(0.08373239762145517-0.01858276505681144j),(0.0839688599120982-0.01747796345934246j),(0.08369409198798529-0.018852967264729528j),(0.08407227297348892-0.016956655743877724j),(0.0837581919614122-0.018565341259160862j),(0.08391096523056274-0.017756609825191918j),(0.08387262684712085-0.01801532317164207j),(0.08378384454969588-0.018337067627947214j),(0.08399739697156001-0.01743589029727253j),(0.08374413764300674-0.018508630074696913j),(0.08392146350145598-0.01781118893225306j),(0.08382499203076117-0.018145023408263954j),(0.08385328871183942-0.018090099289745212j),(0.0839303903787792-0.017696374043129168j),(0.08382460347304693-0.018166912360035797j),(0.08388963155986855-0.017948107159989j),(0.08383348879383916-0.018084075235698546j),(0.08384703022463036-0.018149054529290068j),(0.0838916258851956-0.017841747451960398j),(0.0838392490168355-0.01815595890081241j),(0.08387005689349547-0.01799844248395714j)
Y_N_c,150,(0.004030018528013385-0.0002177016880027954j),(-0.08403903078126855+0.0018853928956519862j),(-0.07825388100146263+0.006970385609060426j),(-0.08600117987516566+0.006159461979729369j),(-0.07748001915747924+0.0002895974773354272j),(-0.08768340381197924+0.010770797329292436j),(-0.07752682527041733-0.004261388078551247j),(-0.08690208057053027+0.0074973035443918895j),(-0.07860213474168094-0.00017880859834827072j),(-0.08500989526698538+0.0006097730716625379j),(-0.08033497249878928+0.011776361672327422j),(-0.08335283581658846-0.005574982969465132j),(-0.0804044396038306+0.018381509414589898j),(-0.08253100232472042-0.007033945286242162j),(-0.08120014150562302+0.012200187465001617j),(-0.08293012002313645-0.00027455894962047974j),(-0.0818729222701047+0.0034312509476226226j),(-0.08260465630516636+0.004829009068865896j),(-0.08224489653034722-0.0016863130296038732j),(-0.08167091527323272+0.0067456686008918534j),(-0.08315326584999527+0.0006894173345994188j),(-0.08063042897257423+0.006664788443736005j),(-0.08325030777308748+0.0026031815798030784j),(-0.0807666835632325+0.004398640417364107j),(-0.08274978953650813+0.003004341495302637j),(-0.08206543584356477+0.005223204639770784j),(-0.0820153204733968+0.0023392485178275017j),(-0.08265734153586685+0.004901510326319927j),(-0.08134406453620073+0.0015925295907031206j),(-0.08265878281298115+0.0038295100913493633j),(-0.08162148627314417+0.0052623887019780345j),(-0.08234252853132498+0.0022756285982900026j),(-0.08198277842279209+0.006100252660633972j),(-0.08193723549669503+0.0007223504567751698j),(-0.08211896554653786+0.0053378146011667585j),(-0.08220036444674272+0.002977404050414502j),(-0.08204447592100154+0.0037838639744396316j),(-0.0821627927972015+0.004634307191706443j),(-0.08191104881821622+0.0021023704273047464j),(-0.08196204941296181+0.005133009886304395j),(-0.08225790657331028+0.0031625675840547644j),(-0.08187123363693946+0.004114114172627886j),(-0.08235210230679779+0.003964951282576797j),(-0.08181497199533605+0.0028253526809030073j),(-0.08220801888550318+0.004185103941649549j),(-0.08212797159051635+0.0035450407054472208j),(-0.08191733249307458+0.003933464591573132j),(-0.08227455766828273+0.004134076365711156j),(-0.08178870360981846+0.0032248662116787195j),(-0.0822258309423977+0.004162675760975669j),(-0.08203272199934107+0.0036751633555946774j)
Y_N_c,250,(-0.005645647120389982-0.0008528091290538557j),(0.07640383622456046+0.014805315815462093j),(0.06894575020446761+0.005689878082499659j),(0.08398814209271567+0.009410993637953925j),(0.06355610013226873+0.01593966869909659j),(0.09134158806521493+0.002672279501350454j),(0.06093383866521186+0.023100976962638776j),(0.08923594687446086+0.006459349399202751j),(0.06442914774583743+0.017842979280647677j),(0.08231718990888715+0.01585680756148708j),(0.07288419757340148+0.0010737880807153996j),(0.07577091285654004+0.024875652052368965j),(0.0753687201228999-0.009243179048486223j),(0.07290425906757128+0.02747060189648747j),(0.07552139116309031-0.0010489577453289595j),(0.07620270931770563+0.018513542916558972j),(0.07439454735500249+0.011448966831505699j),(0.07713179685942738+0.011043589660006627j),(0.07364533521421178+0.019142652588703585j),(0.0752980383002501+0.007687082369124736j),(0.07692286064994175+0.01654011840760778j),(0.07236791800425615+0.007224578989285744j),(0.07796684889811667+0.013968592755483296j),(0.07176906005666202+0.010312850085270067j),(0.07686836522223607+0.013180131545222042j),(0.07545164294208014+0.00966775788970646j),(0.07468743681326463+0.013838829313634296j),(0.07701712653811715+0.010315790817195226j),(0.07255946707906641+0.014711399176680736j),(0.0767620576405471+0.011789837593723377j),(0.07445647481922292+0.009773332722685497j),(0.07544334002718434+0.01387806556720686j),(0.07568267916483153+0.008582907683722739j),(0.07382180092336885+0.016007946223728857j),(0.0758035248588917+0.009543852551935045j),(0.07525992144567123+0.013096782974543988j),(0.07508965351293709+0.011619177422906569j),(0.07573448899277235+0.010770599421962509j),(0.074148927512751+0.013961299720029931j),(0.0753761041620955+0.009926386727155786j),(0.07542735929289178+0.012728760060138632j),(0.07477719052004063+0.01122234224990435j),(0.07598290646196096+0.011672491174166785j),(0.07415635208854901+0.012985206942363693j),(0.07570581260809513+0.011300860384073318j),(0.07520769012581777+0.012145932386735642j),(0.07485677154697301+0.011534403338702988j),(0.07581132492978854+0.011369396505504219j),(0.07424437268314157+0.012477603373278568j),(0.07571396189867109+0.011285849434877964j),(0.0750180443812184+0.011967550106050284j)
Y_N_c,350,(0.005990822221643321+0.0028295173970766608j),(-0.06336425678883902-0.027497272089278282j),(-0.05466943528877111-0.015131835403628315j),(-0.07804273730188897-0.023979369241537683j),(-0.04277011982972858-0.0255087161205477j),(-0.09259527529289853-0.016965979861964242j),(-0.03617941264047848-0.03397963129529024j),(-0.0893745163424768-0.019180979941352642j),(-0.04251887065872694-0.029799244627022745j),(-0.07619825001433893-0.027634170896590225j),(-0.059655632991148184-0.01342409015847281j),(-0.06309782879888952-0.03691308951191859j),(-0.06612096870792912-0.0009524195654087055j),(-0.05719099204925326-0.04041232443190886j),(-0.06566921177352879-0.00836142858607688j),(-0.06381137411994699-0.0326785702090254j),(-0.06199517048163153-0.02140390387110506j),(-0.06665551545782866-0.02456150987054228j),(-0.05944797238380616-0.030228217252528437j),(-0.0642003561469897-0.0195973261417467j),(-0.06527584137550947-0.02938403282674599j),(-0.05922995744021482-0.017605435136592705j),(-0.06759846062802558-0.027154301324841413j),(-0.05752344703982919-0.02044447729647108j),(-0.06603481058351078-0.025829557588401362j),(-0.06369953134859285-0.021147232403093113j),(-0.06227254323628327-0.02573469319890316j),(-0.0663925934409376-0.022404679829534316j),(-0.05841370684306692-0.02603102456570221j),(-0.06591822295284662-0.023870981149414213j),(-0.062161083821426086-0.021545823770147448j),(-0.06346081320922514-0.025711373464454897j),(-0.06441811108241302-0.020420105785375862j),(-0.060362800473203804-0.027625464065792044j),(-0.06456409037645454-0.02120793184505386j),(-0.06310465605310393-0.025277577655005056j),(-0.06310729974031991-0.023054018746485817j),(-0.06426525347757862-0.022948585054881995j),(-0.0611499509956846-0.025315360461174063j),(-0.06383032802923715-0.021766518513845375j),(-0.06341865499571775-0.024682614573232037j),(-0.062648294502373-0.022765344214795927j),(-0.0645455293538997-0.02381009666284454j),(-0.0613016901550668-0.02440418452575697j),(-0.06419034449910162-0.02329153433772679j),(-0.06312701646904191-0.023974980760598247j),(-0.06275395288703567-0.02321226054485514j),(-0.06428073445940145-0.023345123679362048j),(-0.061543054593652384-0.024004897172427892j),(-0.06417819571407463-0.023172794549947452j),(-0.06285417907343274-0.023789998404171217j)
Y_N_c,450,(-0.004777078417437177-0.004635565751570194j),(0.047190096105979094+0.034433142687516474j),(0.03780885886127115+0.018938906550591342j),(0.06791085882213052+0.03469099348112395j),(0.019226812419814433+0.026006577472791233j),(0.08968604642464298+0.03113074787300208j),(0.008379601321840596+0.03470914338633361j),(0.08683794536939923+0.029898837438964983j),(0.01656665692358284+0.03394772601949662j),(0.06854336226799003+0.03365177396149914j),(0.04110263032964249+0.023654962045612765j),(0.04903599321221429+0.04009163091722363j),(0.05237207577298011+0.011276007307958368j),(0.0393980869408647+0.04391741908827044j),(0.05261654972975833+0.015184838441580601j),(0.04773028273069352+0.04083533375104294j),(0.04715950072006388+0.025253286345141276j),(0.052329077544398986+0.03415678743670736j),(0.04283612767706438+0.03338910544206359j),(0.04992519240135452+0.027734426526670405j),(0.050067794995097475+0.036081838285066864j),(0.04360037135468112+0.023331173653818246j),(0.05350050180250995+0.03531569847927319j),(0.04082965439482457+0.024705359354541864j),(0.051912978115996114+0.03347918560665064j),(0.04847202257316873+0.02770579670017479j),(0.04711137764585102+0.03196088452463801j),(0.052115080019997685+0.02985987531828793j),(0.04184567008229989+0.030952495415637882j),(0.05172655427927617+0.030975139667812516j),(0.04661657848496699+0.02856507512916723j),(0.048564546678206366+0.031810296984804295j),(0.04967394771212992+0.027966495531277953j),(0.04431799313554326+0.032672976220227884j),(0.050019674922054835+0.02827073793356733j),(0.047745215246001525+0.03201789160928624j),(0.04814698810524987+0.02915517106671111j),(0.049425533742209836+0.030404552190046983j),(0.045416062460208684+0.030543338313921083j),(0.04905846802195886+0.028978836887891903j),(0.04820391176101368+0.0311823320107834j),(0.04754047591958397+0.029141703317182542j),(0.04975965875741477+0.030945219175850407j),(0.04563301324749008+0.030024875206766517j),(0.04944549933066223+0.030339986361242167j),(0.04786146874262987+0.03045526545606258j),(0.04766382642825078+0.029701870404402326j),(0.04942927371950562+0.030312410980731994j),(0.04598349882488278+0.02994417619581065j),(0.049409294993584194+0.030055470842340854j),(0.04754652067711495+0.030316565304345868j)
Y_N_c,550,(0.002527285676524061+0.005317827834482343j),(-0.030520141630375988-0.035248703446539464j),(-0.021298085907233248-0.017474790707257475j),(-0.0547160778902343-0.04179221840589371j),(0.001783564313741744-0.019724345481077737j),(-0.08176683227452497-0.04401050298207304j),(0.016966337147766845-0.025683036211688437j),(-0.08137749188286625-0.03780694096113241j),(0.009192082220851354-0.029904988176565145j),(-0.061307834095753765-0.03412187112005416j),(-0.018466990155319992-0.029970076460393666j),(-0.037419913478906816-0.0350019846124615j),(-0.0343290099917683-0.020276494310918283j),(-0.023846014604993884-0.03825033413944371j),(-0.037522370055239944-0.01907002205513477j),(-0.030590419723380155-0.04193538895892065j),(-0.03247198627376289-0.023345811383111308j),(-0.03586769209916768-0.038641870454504096j),(-0.027187786820694875-0.028990114435457678j),(-0.034344850682883746-0.031478223581058444j),(-0.03369306435192334-0.03590672170658693j),(-0.02803365849615522-0.024385733366391705j),(-0.03755340904066265-0.03749577227507802j),(-0.024690362579427114-0.023275320640928562j),(-0.03653377395074357-0.03550094660647436j),(-0.03193689419403122-0.02868391067381157j),(-0.031777908860343804-0.03234313785969468j),(-0.03602105676934851-0.03185665106718902j),(-0.025983206099402148-0.029595951076785615j),(-0.03617240561174792-0.032513414323135974j),(-0.03015932309457047-0.0301922460874744j),(-0.033193667281859365-0.03194262238200829j),(-0.0334146082069584-0.030441955795072303j),(-0.028656976028107933-0.03120069070781723j),(-0.03418217379532445-0.030149350997998946j),(-0.03161278816979219-0.03278215907137367j),(-0.03255096853447913-0.029648320660215985j),(-0.03333731376173574-0.03242128093879881j),(-0.029695355944508717-0.02959694505435651j),(-0.03318238595221597-0.030968747109095474j),(-0.03216212509914694-0.03173813183147982j),(-0.031816244052440976-0.030022115101337878j),(-0.03378100586121979-0.03243227202100922j),(-0.02980528754953045-0.029704540993127613j),(-0.033641999373265154-0.03188125615209618j),(-0.0317842702062868-0.031119328612812153j),(-0.03195561820436994-0.03063690154112527j),(-0.03342887031756862-0.03167106023403843j),(-0.03015489928347204-0.030068159629133992j),(-0.03358428183158114-0.03139656280381628j),(-0.0314875151028293-0.031088166476257326j)
Y_N_c,650,(-0.00024000134477362121-0.004552206925841938j),(0.015781376874811723+0.030728717889908403j),(0.007594193190670816+0.011906792843109554j),(0.039605320361085716+0.04381166534858043j),(-0.017177101332985938+0.0071813114623297284j),(0.06791527311880921+0.051135090931426375j),(-0.03572045213534665+0.008860140125420532j),(0.0731248597444584+0.04219101246042943j),(-0.030842284194726507+0.019007823952567435j),(0.05593484961034294+0.030379002949048522j),(-0.00608504783772363+0.030843178952934227j),(0.03114580573936901+0.02417199388765122j),(0.012982680187119261+0.026281945226793252j),(0.014083884258459717+0.025730351398167272j),(0.02152649850918662+0.0201282534660381j),(0.015293196797465904+0.03606410278424925j),(0.01990526471087409+0.01734962150370754j),(0.01940799525583525+0.037441521040360824j),(0.015172254170735207+0.019128451676413145j),(0.019352252377495705+0.030870513504819806j),(0.018656572868698304+0.029339693688256615j),(0.014662855535062379+0.021749391118997284j),(0.021907204388474155+0.03361432635434722j),(0.011576092919822343+0.017654487348009593j),(0.021930616666602017+0.03215743450971906j),(0.016407946854581947+0.024428603997359487j),(0.018489719682120726+0.027829314452303716j),(0.020198357326028503+0.028426254860201037j),(0.013366818398959316+0.02345351889210382j),(0.021276301903473672+0.028812219103646314j),(0.015168798316612647+0.026763542060064593j),(0.019514062676860292+0.02699796113053236j),(0.017796701251861335+0.027887472767951123j),(0.01583070867475517+0.02462583297982014j),(0.019111168294575764+0.027133122993113046j),(0.0170885743203741+0.028126951249298256j),(0.01845683625148714+0.025313141222809737j),(0.018222547692091466+0.029188268970300198j),(0.01633428719009295+0.023694441014197414j),(0.018337641844005877+0.02802774576418739j),(0.017613745168337625+0.026953181739199007j),(0.017655503748810406+0.026100609978723738j),(0.018823783116031164+0.028590248273180192j),(0.016145403518624746+0.02449299936854372j),(0.018939474744909437+0.028297755056784578j),(0.0172021187877416+0.026575362060316705j),(0.017825324051052364+0.02667443916506478j),(0.018489304802860755+0.027795305133995588j),(0.016367730877958578+0.02528947388333433j),(0.018863110629314502+0.027624748580850855j),(0.016985772701121407+0.02671099310998371j)
Y_N_c,750,(-0.0011799251327733141+0.0027568437715186937j),(-0.004720817945575755-0.022543961963447517j),(0.0017548673134925338-0.004203394217216197j),(-0.024352505901173143-0.04043099993480906j),(0.024676132867499964+0.007335955135882407j),(-0.05055425371017476-0.052730804509017924j),(0.044029788642175965+0.009025367936915238j),(-0.0631733289988446-0.043474565510389515j),(0.04554117096790246-0.003936000511217853j),(-0.052959165147898044-0.024427444003742218j),(0.02962904941348632-0.025554808229962585j),(-0.03139378897851392-0.01130154359758276j),(0.009820122132223046-0.02786294821583344j),(-0.012035739191156887-0.010071267543765043j),(-0.005600867732358985-0.018801669110267916j),(-0.004511848588960909-0.02452179277505552j),(-0.010333413559989992-0.009685552872184838j),(-0.005248314814708639-0.030783270054005902j),(-0.008076470659568031-0.007001337244012055j),(-0.006591195210509636-0.026525480721629933j),(-0.007080715288848904-0.018033363931332185j),(-0.004778490203845808-0.01700080371609484j),(-0.008638790834144008-0.024549952112178662j),(-0.002876709581050502-0.010164390532583167j),(-0.009800893926080608-0.024496465956120574j),(-0.003918409774111122-0.01627131689465099j),(-0.008664973724033248-0.02013137537169727j),(-0.006650484417457372-0.020509285723564728j),(-0.005382612448980911-0.014869608205537602j),(-0.00875418182319646-0.0210158103482439j),(-0.0036230253366710203-0.019528001557213695j),(-0.008994552775721929-0.01867502238776758j),(-0.004815159718158726-0.02119340032601498j),(-0.007232398581781077-0.015249643829614386j),(-0.006570597638555674-0.020297967871775447j),(-0.006039758272145751-0.019561912460880942j),(-0.007394738995490102-0.017714233611275745j),(-0.006014856814167124-0.021774039011628315j),(-0.006783306991348744-0.014912550678215779j),(-0.006306153840043838-0.02124149934489883j),(-0.006370517141247642-0.018368130934205935j),(-0.006648869121596939-0.018851610988516527j),(-0.00676328243908198-0.0206356986301326j),(-0.006177957975177697-0.016280008078101676j),(-0.0071029697692047535-0.02080532233652379j),(-0.005911955978605123-0.01834327040491617j),(-0.006884328155766202-0.01926710252439086j),(-0.006459662841820749-0.019946632000815184j),(-0.0061920042711952564-0.01735298543408389j),(-0.007001995111151118-0.020010107218189556j),(-0.0058231540018202355-0.01868513223602674j)
Y_N_c,850,(0.0013766951890608736-0.00078521223057377j),(-0.0018733441251973413+0.012814134241002063j),(-0.006353215461349293-0.003421963024345309j),(0.01090724786971222+0.032205612190537615j),(-0.02430356391568421-0.019935341436978376j),(0.03198032287506747+0.04722454009835967j),(-0.042996461099842884-0.02570066707306011j),(0.05089816030610528+0.039045803196888454j),(-0.05262390202952852-0.012859673519939347j),(0.05190697663508402+0.01833949087412543j),(-0.048973804547660135+0.01461430664891002j),(0.03735749681246825+0.00021085198932235642j),(-0.03158560690356506+0.0243097509445979j),(0.017593203585979822-0.0045995530247075625j),(-0.009509118507977175+0.015684838720787058j),(0.00016072346449898204+0.009675402472638287j),(0.0034117410697245745+0.0027821205781069815j),(-0.004511270563198836+0.01977554933206291j),(0.005544470376719518-0.003987768265729011j),(-0.002731297222465857+0.019457249166997613j),(0.0002433293646720066+0.004535418494142477j),(-0.001312434992562474+0.01179150276979628j),(-0.0006295333681575176+0.012061227380301144j),(-0.0013146431649470754+0.0032520351267109463j),(0.001255602724344448+0.014120121011325591j),(-0.0041896797791299645+0.006294743040813925j),(0.002733550294446066+0.01122117162429771j),(-0.0030689019103235884+0.009844376118137672j),(0.002053907974568189+0.00632979156297999j),(-0.00024838150626077743+0.010850210770833875j),(-0.0032881119399873703+0.010388774068641898j),(0.0022013380610694166+0.0090181300600171j),(-0.004058396182601329+0.011966621189217342j),(0.0029895981581719378+0.005586239839448218j),(-0.0022498489604916086+0.011281172231078922j),(-0.0005376755799426656+0.009210053053280471j),(6.984444401828254e-05+0.008785394742495829j),(-0.0019939044657568366+0.011928983232174709j),(0.001379943375975918+0.0055997841321489454j),(-0.001774750762916841+0.012253151232237167j),(-0.0006011666366598232+0.008110556805221198j),(-0.00043725585613557574+0.010140169968367103j),(-0.0012042623208204282+0.010441424142192613j),(0.00039264564390260447+0.007269987402913042j),(-0.0007907685404155117+0.011184820896090264j),(-0.0011246663161874853+0.00850175790981856j),(-8.624876286655479e-05+0.010285327372256806j),(-0.001502202497689462+0.010013011144031195j),(0.00021164762292962339+0.008359276811649127j),(-0.0009393828823982069+0.01038158138209663j),(-0.001063601636210683+0.009048899352405758j)
Y_N_c,950,(-0.0006383214163019197-0.0005778641500162496j),(0.004209505211590997-0.0036122146441242135j),(0.00689051779186722+0.009084012919707162j),(-0.0009589249219352061-0.020595142126898225j),(0.017953336817924603+0.027526556130935263j),(-0.015265718924546182-0.035336109861703054j),(0.03429093651698555+0.0365122097146605j),(-0.03901628225376767-0.03203859312995089j),(0.05058716613878263+0.025352710567582412j),(-0.052239460689253-0.014634896600523466j),(0.061369914708569756+0.00012372491078898804j),(-0.04654440561246902+0.006192877216120092j),(0.049632507517258256-0.015958394981315252j),(-0.028743693960579103+0.01477559730401698j),(0.02325379371773479-0.01136155265067834j),(-0.002950579241254106+0.005437069871448695j),(0.00215173518681239+0.0016201354088714714j),(0.008366838204701403-0.006315797826773437j),(-0.00579217812742713+0.01113190074970578j),(0.007930930881976784-0.01087641257433861j),(0.001738953929672955+0.008206036206750415j),(0.004129949066465667-0.007362480640033117j),(0.005073303439763434+0.0014735536456281977j),(0.0020389310230247955+0.0011988040923100497j),(0.003305610290594347-0.002883671846942591j),(0.0075553624687920325+0.0030950457556790977j),(-0.00022815366872524047-0.002834657554520302j),(0.008172092493553+0.0013203722105679262j),(-0.0022296507652193277+0.00022530521583691775j),(0.005302765523728251-0.0002973487817418505j),(0.00539624019074362-0.001484205134264108j),(0.0011588923111760516+6.2385891444657e-05j),(0.008165832028439911-0.002235495384746017j),(-0.0021239866920995895+0.0022952166278326076j),(0.006898525007495768-0.001960289254448853j),(0.0026834071679998624+0.0006659217797878969j),(0.0036364488669695556-0.00038329907144563037j),(0.005394161395515845-0.0017410798270270638j),(0.0005520335146025771+0.00221780087809383j),(0.0055722409037507435-0.0029293114337879352j),(0.0033240855883464506+0.0015783118177324067j),(0.003685738741849949-0.0017918129834015863j),(0.004769250969587314-0.0001581522238858124j),(0.001704548797833139+0.0005664494539578254j),(0.004500196893091144-0.0014151569413511055j),(0.003914827424788166+0.000778060996691635j),(0.003173699360215873-0.0015908588838578757j),(0.005119563097279847-0.00011937182878600863j),(0.0019593125124473198-0.000251814292875801j),(0.0047390827836974745-0.0007460192824954638j),(0.0037051668567718563+8.226550163699126e-05j)
