Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09060063659686347-0.022082064235234157j),(-1.131243785249416+0.17003535070426878j),(-1.255337353632516+0.23752622440899188j),(-1.1855850539961066+0.15059256742477542j),(-1.2161645249798794+0.1549418947805798j),(-1.203042862972708+0.28167696145101895j),(-1.210429923562569+0.07862753917163151j),(-1.2080966920856957+0.22474497570937504j),(-1.2039560254063817+0.16915760999287557j),(-1.2112857445117333+0.19826320195718264j),(-1.2056902746079088+0.1888305861044827j),(-1.2082061338331525+0.14802240335741032j),(-1.2075736462723539+0.22051486129862524j),(-1.2072799655874054+0.15252848595774554j),(-1.208429037552709+0.18068789158231754j),(-1.2064124642222296+0.19205114494730538j),(-1.2084452967269808+0.17128655440139912j),(-1.2076701455768268+0.18541093604949835j),(-1.2071468976197737+0.156903542732517j),(-1.2079241634935876+0.1928833037733382j),(-1.2073722701855552+0.17963705860332924j),(-1.2079795851621966+0.16296939003432684j),(-1.207362640908646+0.18585979581297232j),(-1.2075315940785512+0.17071799546891703j),(-1.2079551728417528+0.17672461071235246j),(-1.2073067801538886+0.17291150990000637j)
Y_N_c,150,(0.044301873478062824+0.17714812672613336j),(0.7906163586113383+0.2820258680863581j),(1.1886033561472693+0.2519802318135566j),(0.6990277716584123+0.379630213326377j),(1.0043537818148764+0.3498024173887336j),(0.9659755802030405+0.13535930722506617j),(0.9155381106159176+0.548871544769483j),(0.8938905319582745+0.20407466527871088j),(0.9598127611881448+0.3649983424877931j),(0.9563385725660244+0.29233268886767566j),(0.8874705515255581+0.2978896848010302j),(0.9332399951256108+0.3890778805861503j),(0.9608563259413108+0.24946559675230695j),(0.9232872736818872+0.38700571866720146j),(0.9121925610754735+0.3139374582262424j),(0.9396897671433867+0.3039233445758557j),(0.9516186949164693+0.3516473600573469j),(0.9133550701919422+0.3088814579149638j),(0.9222413448505292+0.3718882306195219j),(0.9534624824190313+0.3048582576540804j),(0.9295403406630894+0.3284368960039596j),(0.9190513949279209+0.3570821300298874j),(0.9321232473836962+0.3129032682982867j),(0.948884020598147+0.3530215519052535j),(0.9240297500009087+0.33039501296208146j),(0.9207776540771188+0.33751098771158394j)
Y_N_c,250,(0.10301635039320914-0.1574613819902047j),(-0.22118587242368098-0.33278076731503076j),(-0.8619724709020644-0.6137867256908935j),(0.10090040572577892-0.40719793764180495j),(-0.6272767535729826-0.4485783785784229j),(-0.4082009631081524-0.43878918362461655j),(-0.35166604613767055-0.6439029482999747j),(-0.3598914785161223-0.30556615550216437j),(-0.4428409146278533-0.5804604658104551j),(-0.419268904732672-0.4664868222031611j),(-0.3315155003248311-0.41994648619023217j),(-0.40875039552493536-0.522432871543762j),(-0.43426864917482366-0.4599422734606748j),(-0.376579923724393-0.5302593610266737j),(-0.3736514044374298-0.43707566228334754j),(-0.41026470939532517-0.4822455766534679j),(-0.4190696984728892-0.5253636862453085j),(-0.3693489963583754-0.44591720321184214j),(-0.38577376692007015-0.5085146407025704j),(-0.42601527759805624-0.4904912461681616j),(-0.38947078013454856-0.4866424073981192j),(-0.37921895330015176-0.4876168029394138j),(-0.3990360043103656-0.47248867585702925j),(-0.4167712904016812-0.5285525359287842j),(-0.3841113327864161-0.47458239703179406j),(-0.38240629175875346-0.47909497614498375j)
Y_N_c,350,(-0.11731944679770932+0.005123209808632541j),(-0.126068971556308+0.05669860388358578j),(0.3868325492370135+0.6818125948587986j),(-0.6005893529195334-0.003561987743197743j),(0.4556861835614172+0.24935147835115815j),(-0.26360263604689876+0.4644623774535896j),(0.034493786685016+0.23356150914017665j),(-0.015200388601513681+0.1630252684605163j),(-0.0042253244335431935+0.42194801595578957j),(-0.048974625274271905+0.2665961971678018j),(-0.03793669166233869+0.2262186101915514j),(0.027700855793179623+0.2889448082962301j),(-0.05338196199650391+0.3300217634524373j),(-0.017660781823583598+0.2869273614480871j),(-0.009635258683599405+0.23192996689728643j),(-0.024354832214612748+0.3170625341153126j),(-0.01998725861417812+0.3149118952689997j),(-0.027615146835410585+0.24747482018015518j),(0.00020686352298897748+0.2830026575240683j),(-0.02686185029905951+0.31789925681324066j),(-0.027897898907701967+0.28677430729647296j),(-0.006778972264902315+0.26116769747112684j),(-0.01974324371754083+0.2882334804472791j),(-0.018603158273386586+0.3238709072669859j),(-0.02028103740996652+0.2669777988717206j),(-0.01366698461763484+0.2722146053160829j)
Y_N_c,450,(-0.0058701880761921794+0.058084572460151786j),(0.11543983699591721+0.17977916060802912j),(-0.0013766583862417946-0.42893788030974217j),(0.5540264160199956+0.38220141437956723j),(-0.5192779597998645-0.10443266282629916j),(0.7415867108520651-0.20326382090137604j),(-0.18856029321263829+0.23892268230419572j),(0.15178887715755143-0.07928261432583013j),(0.15430246610343695-0.07706281252126343j),(0.19329936161218314+0.0664932828022302j),(0.07784102572551456-0.030984960574744248j),(0.06995216358856984+0.006516720904161253j),(0.2372886623755909-0.033229851550349625j),(0.07236162563168926+0.02523335821809243j),(0.09739924790704656+0.0007292465124842554j),(0.15805043233972496-0.036743657786197655j),(0.1391524666943275+0.018599467523157692j),(0.11098945966921216-0.0027057966887327907j),(0.07875085656665509-0.00035408425417125073j),(0.1745319782209493-0.011505595583297076j),(0.12471472570382719-0.0010000979315645375j),(0.08297333787181686+0.011835778943779884j),(0.13632011336873992-0.01636808459682538j),(0.1359466056514603+0.002719613784498673j),(0.11150441051871454+0.005519299450574784j),(0.1019653488078253-0.005497197836342716j)
Y_N_c,550,(0.07401351261593814+0.011591638163169432j),(0.025324241912189478-0.157570801490383j),(-0.10329994741109719+0.050673965853023195j),(-0.22305222537359-0.38481260875030376j),(0.5423909267700534+0.15375360152870035j),(-0.8128643839794524-0.14068411155994387j),(0.5721048520953265-0.3677756834991491j),(-0.2561917012928461+0.17048566755471292j),(-0.011634326528756343-0.2190981161761872j),(-0.06130701757099534-0.20136540870033548j),(0.019049123388574948+0.018152299772015053j),(-0.02566293659187146-0.1505731899666089j),(-0.10558124634590003-0.14689993444220997j),(0.05304796220722374-0.13463917788034893j),(-0.04240766396019409-0.06745721803701694j),(-0.05410095975125595-0.11904399561391284j),(-0.01828175753361362-0.1789200508720561j),(-0.021706563258166736-0.07141763085888954j),(0.002261724735577791-0.1150894748599516j),(-0.06334634178573786-0.15394904882339577j),(-0.01244805732004665-0.11659988270703245j),(-0.0028658156581738057-0.10602771408160314j),(-0.0449148904473795-0.11020100063896213j),(-0.016316373359168822-0.16572275935898742j),(-0.017972900478940436-0.10610724042129926j),(-0.015749600865558062-0.0987052375121947j)
Y_N_c,650,(-0.02277041653721981-0.05950240062306289j),(-0.05028823375690049-0.00791496213528368j),(-0.02797567303495016+0.17467631256323915j),(-0.0013633221541844225+0.09897597190964705j),(-0.351135796928586-0.2190901373468225j),(0.5366654918115521+0.2971770655358926j),(-0.768110908882024+0.1403980078975472j),(0.46385445806313935-0.25839025223810624j),(-0.2698570111791795+0.34067499154678677j),(-0.0561141931646728+0.016197615393292477j),(-0.042209356398407456-0.06761870269080392j),(-0.0029548511113969183+0.15259708357172044j),(-0.10780142439037264+0.07122849037824645j),(-0.09687270915167716+0.059472035829182424j),(0.013013062030946376+0.023212215977938003j),(-0.08409155782520522+0.09007142616911305j),(-0.08958384373242195+0.0992612579453409j),(-0.03558463709313312+0.01096495562223426j),(-0.049784139967981894+0.08318381972419678j),(-0.07834919095697672+0.09298893868064309j),(-0.07644212741155257+0.05210765358076418j),(-0.03452141395326405+0.054889529720439645j),(-0.05436027885587696+0.06717128843046376j),(-0.0960134147842617+0.10277642112314515j),(-0.04751988177721787+0.044735792453438714j),(-0.047228458049237684+0.05572766113213168j)
Y_N_c,750,(-0.02652785867988214+0.014541422698673317j),(-0.03663236595738172+0.09117202498864735j),(0.1587207455630768-0.144417423900565j),(0.0011286792193203512+0.1460142387438362j),(0.08194621024711944+0.11285916523062023j),(-0.1917516275609752-0.18176551969655821j),(0.5979915559777679+0.13152763522378755j),(-0.6407367829838457+0.15811875646238216j),(0.5190595626484613-0.2876525817635087j),(-0.07990046729676864+0.2914635004206254j),(0.022861614097170583-0.02275529159734872j),(-0.00390145567453652-0.08217888560164602j),(0.15770800968711937+0.12469476606572061j),(-0.006054066259344793-0.0003082912030018354j),(-0.009954672657858628+0.009937525563425734j),(0.11154325249493259+0.015204735073175452j),(0.03863945860550992+0.04619909608034284j),(0.018712300961682655+0.03132703034343411j),(0.02217538589073695-0.02777097445549486j),(0.0824396022619574+0.05338447255627029j),(0.04412075430851811+0.03178604298509298j),(-0.0007201303269950891-0.0010253275833532701j),(0.0609911823356544+0.021381705209623226j),(0.05987668981579538+0.02584389719792967j),(0.020497421744776097+0.026167089875220928j),(0.03125533109523388+0.0027011327826609328j)
Y_N_c,850,(0.0026492607719593585+0.03174667767371204j),(0.07831226698760492-0.041345673922614797j),(-0.11713428457006508+0.006072648712737583j),(0.06168936100282268-0.16638930636507243j),(0.039396996597735316+0.09096609838969572j),(0.013038033505792197-0.04327344902904827j),(-0.24176534804890654-0.1832374478779404j),(0.5805351789745045+0.053840301506182124j),(-0.6185105578836554+0.13219487081551104j),(0.4106804699573079-0.4121905037591684j),(-0.13069971525919608+0.24258391234412113j),(0.031512170818757526-0.060821634435377275j),(-0.03088114384653124-0.1753813644537745j),(0.10528252880830927+0.052537325806870115j),(-0.029533764222839293-0.023708843069717954j),(-0.028810254082802-0.060007178763064536j),(0.08191872828924522-0.07491950626393881j),(-0.010287094919454167-0.0037444332604007527j),(0.02020804108396981+0.0006362084643002506j),(0.015789220265327412-0.10079565336975949j),(0.026012231925003418-0.02215742630709853j),(0.026233397529948445-0.006282558646663072j),(-0.009835930690934178-0.04988565945148376j),(0.05195480224536137-0.05525318336066647j),(0.01912252388945045-0.02448036951046411j),(0.0037740810375578296-0.012464671784846474j)
Y_N_c,950,(0.027802876714404675-0.016144710074255733j),(-0.01542339977809998-0.020204547295357412j),(-0.03578656096066176+0.042636595231718026j),(-0.030930181376965415+0.05198474441209583j),(0.0030865781385018905-0.18034850459741888j),(-0.006471694150682254+0.1556435998689881j),(-0.011293177151051869+0.03185360036781289j),(-0.30269009404477765-0.15236099427720373j),(0.5269868341157596+0.018332265392020757j),(-0.6478340003532324+0.24251515239623733j),(0.3886427021220943-0.37856336687332753j),(-0.13511943988781688+0.26061458894149836j),(-0.06082813785854753-0.028866581315947253j),(-0.07597776128909418-0.09606541083598685j),(0.07405941217977464+0.062251987566494346j),(-0.06647320323073617-0.0009482211757641669j),(-0.09830085600435397-0.0011893381290985954j),(0.04075979597319309-0.02480097960330289j),(-0.04445502908910717+0.01623275301133005j),(-0.06633720469975968+0.01847367686289285j),(-0.03278297538815731-0.0350717301266803j),(-0.010801407136285976+0.01192363000071468j),(-0.02576434231830309+0.012091760213232279j),(-0.09016537152531309-0.008881988085480878j),(-0.008403308651243797-0.00572930821099105j),(-0.015248378542178132+0.00037794678109095026j)
