Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09060063659686347-0.022082064235234157j),(-1.1363300801732872+0.12203977558048278j),(-1.2626643908752635+0.20126629438467378j),(-1.190174345796564+0.10381891606553122j),(-1.2210668009921755+0.11516468440824351j),(-1.2117808633210587+0.23869136760498832j),(-1.2127696744614709+0.0383289144842745j),(-1.2150855370438716+0.1825099240887728j),(-1.2090961281559212+0.12438311153890719j),(-1.2174926173544751+0.1577504286746377j),(-1.2115038883656226+0.14578349904769175j),(-1.2127277960930285+0.10668051282855273j),(-1.2144703163654234+0.17837242958520028j),(-1.2118869070405203+0.10950421826746243j),(-1.2140080065725471+0.13884000479776845j),(-1.2123337365273086+0.14890640383492668j),(-1.213731726829219+0.1300683002125045j),(-1.2133941519533964+0.14323009945413356j),(-1.2118831724127832+0.11377178980640382j),(-1.2139083462842626+0.15076716560353437j),(-1.2128976078872566+0.13727549324171295j),(-1.2129605930975942+0.12116728513557144j),(-1.2130933310613332+0.14332963735265034j),(-1.2127513981035674+0.12820610644640987j),(-1.2133938853472017+0.1347690126109189j),(-1.2125964557430655+0.13032554362148624j)
Y_N_c,150,(0.044301873478062824+0.17714812672613336j),(0.772326512869509+0.3282667650413444j),(1.1839342131383455+0.27434601164517886j),(0.685934100369617+0.41832407389589793j),(0.9888568523849541+0.37652865450980316j),(0.9609597742548931+0.1712439774579218j),(0.8984112428039004+0.5766849641721402j),(0.8844190533199706+0.23493763183770278j),(0.945706747123847+0.4033385851811114j),(0.9467338911503393+0.32184800429364097j),(0.8767170824564837+0.33088882682898624j),(0.9182204432924462+0.4189130656123739j),(0.9515526823410562+0.28258725951364033j),(0.9103261242903723+0.4210779222223236j),(0.9003178539684821+0.34460024608168116j),(0.9276057942234567+0.33817555901435786j),(0.9395188270258518+0.38254105234886443j),(0.902261214723785+0.3405975069200949j),(0.908310140528395+0.4056267000454702j),(0.9418250311044752+0.33742104659251626j),(0.9181250349164388+0.36118406002237186j),(0.9060372479306639+0.38796567478396204j),(0.9200199778468005+0.3456295650949117j),(0.9364976291889555+0.3866433356714844j),(0.912222305716276+0.3619159672535297j),(0.9082226909369335+0.37013138232098275j)
Y_N_c,250,(0.10301635039320914-0.1574613819902047j),(-0.1923696363523144-0.3539780947098395j),(-0.8532432714833124-0.6242309161907806j),(0.11744609520707958-0.42422081151610475j),(-0.6071097753189052-0.45519844401975695j),(-0.3946107340511891-0.45759317938566946j),(-0.33212931346356156-0.6541847845749624j),(-0.3457016655156142-0.3168423494158738j),(-0.42204036972361564-0.5978446969963661j),(-0.40437240747112824-0.47941553781073354j),(-0.31650012637031405-0.43390732654891967j),(-0.38917597807987975-0.5325250034076604j),(-0.4181549537683277-0.4749537712033209j),(-0.35925086107472576-0.5459916699433467j),(-0.35747627217788364-0.44872343469965886j),(-0.39214276070091475-0.49650945651423223j),(-0.40157914392679445-0.5386989638437979j),(-0.353726382700645-0.45911171653140875j),(-0.36725398177249036-0.5224716657978927j),(-0.40820908523611116-0.5041066279732954j),(-0.37303410833328954-0.5012228646298499j),(-0.36189517986664177-0.4997009203370795j),(-0.3815288906504962-0.4857177949959748j),(-0.3988081625338299-0.5439409538579691j),(-0.3676263542815511-0.4876993317507251j),(-0.36512538571206776-0.49247484114665097j)
Y_N_c,350,(-0.11731944679770932+0.005123209808632541j),(-0.14191700233810048+0.05257511670654717j),(0.3780292875291434+0.6843342453294876j),(-0.6075047438500446-0.003564106396192721j),(0.44527810270221146+0.2444025321474786j),(-0.27561616874574807+0.46503098337621224j),(0.024075885518206316+0.23421638780473902j),(-0.022909817596346558+0.16070370472194104j),(-0.015223585573443039+0.42008962034377756j),(-0.05966202785093579+0.2668239146565524j),(-0.046130943903935615+0.2259748330836591j),(0.017435737689762157+0.28636140668396587j),(-0.06465536263422274+0.3290030898989384j),(-0.027284133589208927+0.2879934699565768j),(-0.018428761329103316+0.23060905462336612j),(-0.03450310128805921+0.3149518338474529j),(-0.03140434289568214+0.3147833793209449j),(-0.03665208891221245+0.24706779455441608j),(-0.00908396806890005+0.2820809586434217j),(-0.03781828315259841+0.3161336759337641j),(-0.03790751969354936+0.2869653899836878j),(-0.01630193057493033+0.26035484727635655j),(-0.02954575624462228+0.2864891351514987j),(-0.029614131023039364+0.3240221442113002j),(-0.02992801453118922+0.2665772742503561j),(-0.023023738320670978+0.27129837415601865j)
Y_N_c,450,(-0.0058701880761921794+0.058084572460151786j),(0.10996528247361097+0.18961209472300244j),(0.00495404355604896-0.4267096342022268j),(0.5506676017478891+0.38679994591298233j),(-0.5195907810376729-0.10141457878863899j),(0.7445336112920595-0.1945235009572096j),(-0.18732717746334665+0.23864153818505496j),(0.1518068337378877-0.07471931718385612j),(0.15061060296052803-0.07010430458084098j),(0.1963561493121674+0.07082929653547122j),(0.07773738368941235-0.026915936870865832j),(0.06948067566109702+0.009205587921900236j),(0.23859010459005556-0.026510117873681696j),(0.07180693003179485+0.029023727930721503j),(0.09755368196723223+0.0041310078978880295j),(0.15658790163137973-0.031012623177200566j),(0.14093536773540985+0.022642902921170834j),(0.11154028189333025+0.0011882715300865882j),(0.07682738873832033+0.0034142773366820623j),(0.17453892229126616-0.00595412916742165j),(0.12533927300725+0.003382214804167514j),(0.08315158158583709+0.014764596920808452j),(0.1356000590770378-0.011599213261059562j),(0.136046040471438+0.007573028793277724j),(0.11209973637548591+0.00925386345312297j),(0.10131177445688297-0.001586045947795333j)
Y_N_c,550,(0.07401351261593814+0.011591638163169432j),(0.038858031149527385-0.15758841911127103j),(-0.10519477367172334+0.04725135401561016j),(-0.2174524426958824-0.3868195439458198j),(0.545023221231657+0.1574140936701541j),(-0.8081998686129636-0.1468843602388101j),(0.5746366594897079-0.3651672900371689j),(-0.2542839408623522+0.1695233876356895j),(-0.0026290080339356433-0.22025370668177455j),(-0.05911065869414516-0.2037367558604389j),(0.02210860112142321+0.016412634191399867j),(-0.022106157919974195-0.14805260942374474j),(-0.1009608097278653-0.1498389734163828j),(0.05825010924837853-0.13652901503460033j),(-0.03978799496260199-0.06757892968257007j),(-0.04842031655048422-0.11968252517374241j),(-0.014471859648273805-0.17994086436819712j),(-0.01876095959777305-0.07274101369592646j),(0.007698134402738733-0.1150591229685223j),(-0.05833818951081765-0.15479523893275055j),(-0.008349999527214864-0.11851200561687578j),(0.00037588263202145006-0.10569389277741828j),(-0.04038407801867208-0.11057419525841507j),(-0.010660987851297474-0.1675301507866191j),(-0.014611158328243546-0.1070235783176535j),(-0.01153161533518303-0.09912903218130549j)
Y_N_c,650,(-0.02277041653721981-0.05950240062306289j),(-0.05539645336739694-0.014629442518944512j),(-0.0298553240436812+0.17551227659207086j),(-0.003008683329298699+0.099073150933556j),(-0.35064559589922145-0.2243639418148403j),(0.532286615039596+0.29584894002190665j),(-0.7708285423028051+0.13765864893808413j),(0.4641381390902204-0.2597520685262279j),(-0.273078229098121+0.3373739579528432j),(-0.058929138454886426+0.014762125918404546j),(-0.04361700021480236-0.06816466812506329j),(-0.003923416032680467+0.148494427582983j),(-0.11085829429183394+0.06869991278123744j),(-0.10040920998020766+0.058895054144303585j),(0.012103510412458229+0.021494287569940523j),(-0.08594652659772842+0.0869896360286223j),(-0.09300959773753333+0.09664820356918269j),(-0.03727729243059125+0.009828635229630197j),(-0.05192412761252268+0.08125824292828314j),(-0.0807409846864261+0.08964493306733634j),(-0.07940573925171734+0.0508047186486266j),(-0.0362593183513148+0.05278507852981791j),(-0.055982957843158904+0.06451393609888033j),(-0.09999620638209798+0.10076828260804377j),(-0.04966040373595016+0.04311804701012868j),(-0.049097598118695365+0.053860605642494466j)
Y_N_c,750,(-0.02652785867988214+0.014541422698673317j),(-0.041546569509309864+0.09298279158681814j),(0.160935203327117-0.14161291462162467j),(-0.0008856241406038798+0.1452477620143902j),(0.08049752657020526+0.11446311662024845j),(-0.1929872566012376-0.17706178824999186j),(0.6003877018378965+0.13247874442641627j),(-0.642387137035467+0.15912165294324196j),(0.5153818074566064-0.2869325556857548j),(-0.07942369835617635+0.2944702423984125j),(0.022159911131546084-0.021996509468449506j),(-0.004479790647544881-0.0810244747916024j),(0.15615749299217815+0.12805902392020185j),(-0.006264434773177254+0.0002518576725155332j),(-0.010540139216096466+0.010820297723885808j),(0.10911467367787343+0.01651522811252537j),(0.0390339072908486+0.04897131934805396j),(0.01831768939392763+0.03255068362065431j),(0.020937912121819648-0.027828541206314186j),(0.08071566211723342+0.055663972855529466j),(0.043872815809550346+0.03345852887896112j),(-0.0007251189430894506-7.221542068167722e-05j),(0.05938218073422062+0.022616971739650073j),(0.05933860443683288+0.027726446334669898j),(0.02030771331580667+0.027547212741776066j),(0.03039820029860399+0.0034410603638785377j)
Y_N_c,850,(0.0026492607719593585+0.03174667767371204j),(0.0832071179172096-0.03557328562050338j),(-0.11705253776240424+0.0024677819449777714j),(0.06408367105460802-0.16511474910993879j),(0.03808192366841581+0.09225787459204449j),(0.017502552409325123-0.045161413855244595j),(-0.24382471557404317-0.1825428259726763j),(0.5812355022296072+0.05338300514290038j),(-0.6145969896383383+0.13565206344618574j),(0.4120561795579327-0.4136965064427819j),(-0.1295720126510984+0.24233498915607715j),(0.030578589376291522-0.05936115309599798j),(-0.027846086460982147-0.17569548907460145j),(0.10744920373073162+0.05335816411062299j),(-0.029305142571984834-0.023584457381429638j),(-0.026785967954555283-0.0582457455920114j),(0.08306737263288565-0.07507518027159824j),(-0.009354090855368837-0.004018154913692598j),(0.021516977509537124+0.0026457243542749947j),(0.017752736634965745-0.09972428798096536j),(0.02776232643899254-0.022159495091386396j),(0.026234862771821375-0.00572517892675616j),(-0.008541886261238947-0.048741180215354035j),(0.0544966517732638-0.05434773634912317j),(0.01998999092786699-0.02440851901923065j),(0.004761573518800582-0.011518387546763315j)
Y_N_c,950,(0.027802876714404675-0.016144710074255733j),(-0.0144630953596481-0.025477127990443996j),(-0.037153020515948536+0.043637114122103866j),(-0.03205556321278212+0.051929106451466006j),(0.006414700859029988-0.18104970821162647j),(-0.008337297102284605+0.15392161778657967j),(-0.010225013677275109+0.03025453202180921j),(-0.30209732227650893-0.1514992493895689j),(0.5269604699235313+0.01567503496457454j),(-0.6486436536629803+0.24171908971889877j),(0.38816143852812596-0.3784142595108088j),(-0.132865996897495+0.2594147752548642j),(-0.061261138855380384-0.030594107555265825j),(-0.07765948477542757-0.09735867653848036j),(0.0745121799344389+0.06221782886376572j),(-0.06570938904656598-0.002486684716441296j),(-0.09848210322759438-0.003134898878165958j),(0.040471115026758264-0.02500492597427092j),(-0.04454834868511074+0.01499937910534345j),(-0.06569706157019863+0.016575042676186303j),(-0.033679230484667436-0.036225087473101714j),(-0.010323625067126047+0.011142959636245906j),(-0.025102558220682136+0.011010835271940413j),(-0.0912857876189103-0.01120255381672711j),(-0.008590668218713442-0.006483146630767379j),(-0.015166958723676759-0.0004849631479381779j)
