Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550
Y_N_c,50,(-0.09040278752799487-0.022135370496875806j),(-1.1363300801732872+0.12203977558048285j),(-1.2626643908752635+0.20126629438467386j),(-1.190174345796564+0.10381891606553173j),(-1.2210668009921755+0.11516468440824358j),(-1.2117808633210587+0.2386913676049884j),(-1.2127696744614709+0.03832891448427457j),(-1.2150855370438716+0.1825099240887729j),(-1.2090961281559212+0.12438311153890726j),(-1.2174926173544751+0.1577504286746378j),(-1.2115038883656226+0.14578349904769183j),(-1.2127277960930285+0.1066805128285528j),(-1.2144703163654234+0.1783724295852008j),(-1.2118869070405203+0.1095042182674625j),(-1.2140080065725471+0.13884000479776853j),(-1.2123337365273086+0.14890640383492676j),(-1.213731726829219+0.1300683002125046j),(-1.2133941519533964+0.1432300994541341j),(-1.2118831724127832+0.11377178980640389j),(-1.2139083462842626+0.1507671656035349j),(-1.2128976078872566+0.13727549324171304j),(-1.2129605930975942+0.12116728513557151j),(-1.2130933310613332+0.14332963735265042j),(-1.2127513981035674+0.12820610644640995j),(-1.2133938853472017+0.13476901261091895j),(-1.2125964557430655+0.1303255436214863j)
Y_N_c,150,(0.02588241060693368+0.1999141029280008j),(0.7723265128695094+0.3282667650413446j),(1.183934213138346+0.2743460116451791j),(0.6859341003696173+0.41832407389589815j),(0.9888568523849545+0.3765286545098034j),(0.9609597742548934+0.171243977457922j),(0.8984112428039007+0.5766849641721404j),(0.884419053319971+0.23493763183770297j),(0.9457067471238473+0.4033385851811116j),(0.9467338911503397+0.3218480042936412j),(0.876717082456484+0.33088882682898646j),(0.9182204432924466+0.4189130656123741j),(0.9515526823410565+0.28258725951364055j),(0.9103261242903726+0.4210779222223238j),(0.9003178539684824+0.3446002460816814j),(0.927605794223457+0.3381755590143581j),(0.9395188270258521+0.38254105234886465j),(0.9022612147237853+0.3405975069200951j),(0.9083101405283953+0.4056267000454704j),(0.9418250311044756+0.3374210465925165j),(0.9181250349164392+0.3611840600223721j),(0.9060372479306642+0.38796567478396227j),(0.9200199778468008+0.34562956509491194j),(0.9364976291889558+0.3866433356714846j),(0.9122223057162762+0.3619159672535297j),(0.9082226909369336+0.37013138232098275j)
Y_N_c,250,(0.14805193381338555-0.09737299845767337j),(-0.19236963635231424-0.3539780947098396j),(-0.8532432714833121-0.6242309161907806j),(0.11744609520707976-0.42422081151610486j),(-0.607109775318905-0.45519844401975706j),(-0.39461073405118896-0.45759317938566957j),(-0.3321293134635614-0.6541847845749624j),(-0.34570166551561404-0.3168423494158739j),(-0.42204036972361547-0.5978446969963661j),(-0.40437240747112807-0.47941553781073365j),(-0.3165001263703139-0.4339073265489198j),(-0.3891759780798796-0.5325250034076604j),(-0.4181549537683275-0.474953771203321j),(-0.3592508610747256-0.5459916699433467j),(-0.35747627217788347-0.448723434699659j),(-0.3921427607009146-0.49650945651423234j),(-0.4015791439267943-0.5386989638437979j),(-0.3537263827006448-0.45911171653140886j),(-0.3672539817724902-0.5224716657978927j),(-0.408209085236111-0.5041066279732954j),(-0.37303410833328937-0.5012228646298499j),(-0.3618951798666416-0.49970092033707963j),(-0.38152889065049606-0.4857177949959749j),(-0.3988081625338297-0.5439409538579691j),(-0.3676263542815511-0.48769933175072516j),(-0.3651253857120678-0.4924748411466511j)
Y_N_c,350,(-0.06252942795054414-0.05296621410066846j),(-0.14191700233810053+0.052575116706547076j),(0.3780292875291434+0.6843342453294875j),(-0.6075047438500448-0.0035641063961928217j),(0.4452781027022114+0.24440253214747848j),(-0.275616168745748+0.4650309833762121j),(0.024075885518206237+0.2342163878047389j),(-0.022909817596346638+0.16070370472194093j),(-0.015223585573443117+0.42008962034377745j),(-0.05966202785093586+0.2668239146565523j),(-0.04613094390393569+0.22597483308365898j),(0.017435737689762077+0.28636140668396576j),(-0.06465536263422282+0.3290030898989383j),(-0.027284133589209007+0.2879934699565767j),(-0.018428761329103396+0.230609054623366j),(-0.034503101288059175+0.3149518338474528j),(-0.03140434289568222+0.3147833793209448j),(-0.036652088912212416+0.24706779455441596j),(-0.009083968068900128+0.2820809586434216j),(-0.037818283152598484+0.316133675933764j),(-0.037907519693549434+0.2869653899836877j),(-0.01630193057493041+0.26035484727635644j),(-0.02954575624462236+0.2864891351514986j),(-0.029614131023039444+0.3240221442113001j),(-0.029928014531189193+0.26657727425035616j),(-0.02302373832067095+0.2712983741560187j)
Y_N_c,450,(-0.02276815250253112+0.008372398003571155j),(0.1099652824736109+0.18961209472300244j),(0.0049540435560489-0.42670963420222674j),(0.550667601747889+0.38679994591298233j),(-0.519590781037673-0.10141457878863896j),(0.7445336112920594-0.19452350095720955j),(-0.1873271774633467+0.238641538185055j),(0.15180683373788764-0.07471931718385609j),(0.15061060296052797-0.07010430458084095j),(0.19635614931216736+0.07082929653547122j),(0.07773738368941228-0.026915936870865777j),(0.06948067566109695+0.009205587921900238j),(0.2385901045900555-0.026510117873681696j),(0.07180693003179478+0.029023727930721558j),(0.09755368196723216+0.00413100789788803j),(0.15658790163137967-0.03101262317720051j),(0.1409353677354098+0.02264290292117089j),(0.11154028189333018+0.0011882715300865893j),(0.07682738873832026+0.0034142773366820636j),(0.1745389222912661-0.005954129167421594j),(0.12533927300724995+0.0033822148041675153j),(0.08315158158583702+0.014764596920808509j),(0.13560005907703773-0.01159921326105956j),(0.13604604047143795+0.00757302879327778j),(0.11209973637548595+0.009253863453123033j),(0.101311774456883-0.001586045947795274j)
Y_N_c,550,(-0.0021927496125677005+0.00990803269316597j),(0.038858031149527454-0.15758841911127108j),(-0.1051947736717233+0.047251354015610106j),(-0.21745244269588235-0.38681954394581985j),(0.545023221231657+0.15741409367015405j),(-0.8081998686129636-0.14688436023881016j),(0.5746366594897079-0.36516729003716897j),(-0.25428394086235206+0.16952338763568944j),(-0.002629008033935575-0.2202537066817746j),(-0.05911065869414509-0.20373675586043896j),(0.02210860112142322+0.01641263419139981j),(-0.02210615791997413-0.1480526094237448j),(-0.10096080972786528-0.14983897341638286j),(0.0582501092483786-0.13652901503460038j),(-0.03978799496260198-0.06757892968257012j),(-0.048420316550484205-0.11968252517374246j),(-0.014471859648273735-0.17994086436819717j),(-0.01876095959777304-0.07274101369592652j),(0.007698134402738801-0.11505912296852236j),(-0.05833818951081758-0.1547952389327506j),(-0.008349999527214795-0.11851200561687583j),(0.00037588263202151847-0.10569389277741834j),(-0.04038407801867201-0.11057419525841512j),(-0.010660987851297404-0.16753015078661915j),(-0.014611158328243536-0.10702357831765354j),(-0.011531615335183019-0.09912903218130553j)
Y_N_c,650,(-0.0069639665824197715+0.0036365159182533413j),(-0.05539645336739698-0.014629442518944507j),(-0.02985532404368124+0.1755122765920709j),(-0.0030086833292987418+0.099073150933556j),(-0.3506455958992215-0.22436394181484026j),(0.532286615039596+0.29584894002190665j),(-0.7708285423028051+0.13765864893808416j),(0.46413813909022034-0.2597520685262279j),(-0.2730782290981211+0.3373739579528432j),(-0.05892913845488647+0.014762125918404551j),(-0.0436170002148024-0.06816466812506329j),(-0.00392341603268051+0.14849442758298304j),(-0.11085829429183398+0.06869991278123744j),(-0.1004092099802077+0.05889505414430359j),(0.012103510412458185+0.021494287569940526j),(-0.08594652659772846+0.0869896360286223j),(-0.09300959773753337+0.09664820356918269j),(-0.03727729243059129+0.009828635229630203j),(-0.05192412761252272+0.08125824292828314j),(-0.08074098468642614+0.08964493306733634j),(-0.07940573925171739+0.05080471864862661j),(-0.036259318351314844+0.05278507852981792j),(-0.055982957843158945+0.06451393609888033j),(-0.09999620638209802+0.10076828260804377j),(-0.049660403735950216+0.04311804701012866j),(-0.04909759811869542+0.05386060564249444j)
Y_N_c,750,(0.000904479452049871+0.009223176766471658j),(-0.041546569509309864+0.09298279158681816j),(0.160935203327117-0.14161291462162465j),(-0.0008856241406038777+0.14524776201439024j),(0.08049752657020526+0.11446311662024847j),(-0.1929872566012376-0.17706178824999183j),(0.6003877018378965+0.1324787444264163j),(-0.642387137035467+0.159121652943242j),(0.5153818074566064-0.2869325556857548j),(-0.07942369835617635+0.2944702423984125j),(0.022159911131546087-0.02199650946844949j),(-0.00447979064754488-0.08102447479160238j),(0.15615749299217815+0.12805902392020188j),(-0.006264434773177252+0.00025185767251555244j),(-0.010540139216096464+0.010820297723885828j),(0.10911467367787343+0.016515228112525388j),(0.0390339072908486+0.04897131934805398j),(0.018317689393927635+0.03255068362065433j),(0.02093791212181965-0.02782854120631417j),(0.08071566211723342+0.05566397285552949j),(0.043872815809550346+0.03345852887896114j),(-0.0007251189430894485-7.221542068165798e-05j),(0.05938218073422062+0.02261697173965009j),(0.05933860443683288+0.027726446334669915j),(0.02030771331580666+0.027547212741776083j),(0.03039820029860398+0.0034410603638785568j)
Y_N_c,850,(0.009791288961915692+0.008369396202920161j),(0.08320711791720961-0.035573285620503374j),(-0.11705253776240422+0.00246778194497778j),(0.06408367105460804-0.16511474910993879j),(0.03808192366841583+0.0922578745920445j),(0.01750255240932514-0.04516141385524459j),(-0.24382471557404317-0.1825428259726763j),(0.5812355022296072+0.05338300514290039j),(-0.6145969896383383+0.13565206344618574j),(0.4120561795579327-0.4136965064427819j),(-0.1295720126510984+0.24233498915607715j),(0.03057858937629154-0.05936115309599797j),(-0.02784608646098213-0.17569548907460145j),(0.10744920373073163+0.053358164110622996j),(-0.029305142571984816-0.023584457381429627j),(-0.026785967954555265-0.05824574559201139j),(0.08306737263288566-0.07507518027159822j),(-0.00935409085536882-0.004018154913692588j),(0.02151697750953714+0.0026457243542750033j),(0.017752736634965762-0.09972428798096535j),(0.027762326438992558-0.022159495091386386j),(0.026234862771821393-0.00572517892675615j),(-0.00854188626123893-0.04874118021535403j),(0.05449665177326382-0.05434773634912316j),(0.019989990927867015-0.024408519019230624j),(0.0047615735188006065-0.011518387546763292j)
Y_N_c,950,(0.007746645725634009-0.01042997367886945j),(-0.01446309535964804-0.025477127990444045j),(-0.03715302051594848+0.04363711412210383j),(-0.032055563212782065+0.05192910645146597j),(0.006414700859030047-0.1810497082116265j),(-0.008337297102284544+0.15392161778657965j),(-0.010225013677275048+0.030254532021809177j),(-0.3020973222765089-0.15149924938956894j),(0.5269604699235314+0.015675034964574504j),(-0.6486436536629803+0.24171908971889874j),(0.38816143852812596-0.37841425951080887j),(-0.13286599689749495+0.2594147752548642j),(-0.06126113885538033-0.030594107555265846j),(-0.0776594847754275-0.0973586765384804j),(0.07451217993443897+0.06221782886376569j),(-0.06570938904656591-0.0024866847164413293j),(-0.0984821032275943-0.0031348988781659775j),(0.04047111502675832-0.025004925974270956j),(-0.044548348685110685+0.014999379105343416j),(-0.06569706157019856+0.01657504267618627j),(-0.03367923048466738-0.03622508747310176j),(-0.010323625067125987+0.011142959636245873j),(-0.025102558220682077+0.01101083527194038j),(-0.09128578761891024-0.011202553816727157j),(-0.008590668218713432-0.006483146630767413j),(-0.015166958723676748-0.00048496314793821174j)
