Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950,5050
Y_N_c,50,(-0.002215043467346179-0.0006887709250804763j),(0.09505849225362661-0.004761763147330646j),(0.09091813154399447-0.002060422748519357j),(0.09452584985663218-0.00951214508483807j),(0.09156148253717543+0.002549707243693102j),(0.0937951214558655-0.008290289875095787j),(0.0920271788052878+0.0021419083288349607j),(0.09342090661395472-0.0023811930279847775j),(0.09210170513266208+0.0007308173926494782j),(0.09333031435221043+0.0005699022217461629j),(0.09206286702146549+0.0018121695489643212j),(0.09310864562189497+0.00047628761877495027j),(0.09213392816969557+0.0025789901027486427j),(0.09278634854689391+0.0009489009502046675j),(0.09224641424381354+0.001289264507154851j),(0.09260721864145476+0.0015526296755202255j),(0.09228974539938241+0.000833671881378988j),(0.09257446285292656+0.000495604656558116j),(0.09233065128424951+0.0008584289543814121j),(0.09253041655502298+0.00014075349622907907j),(0.0924362249989257-0.0004726798857459559j),(0.09250808553583235+0.0005376028942402946j),(0.09249802746602137-0.0014176771772677623j),(0.09254613447016524+3.864615577362107e-06j),(0.0925314918861698-0.0012556029754748027j),(0.0925821526794826-0.0007041722545468553j),(0.09259128460569764-0.0012580921180140835j),(0.09257416415349491-0.0006027505780099064j),(0.0926388153836965-0.0016034578862982839j),(0.09260150193951011-0.0007811178277350173j),(0.09264908668361102-0.0012790682336831574j),(0.0926494498353626-0.001555728955470976j),(0.09267684348675932-0.001233985995926029j),(0.09266617921320276-0.0017805955840732232j),(0.09270660824923299-0.0015639581546777817j),(0.09266630879038389-0.0015242097164965794j),(0.09270515393011881-0.0015787757480571069j),(0.09270111075625713-0.001910108966755586j),(0.09270241469018303-0.0013777763983198327j),(0.09271285048569697-0.002095083888626271j),(0.09273730406831136-0.0019627188346141057j),(0.09270793425941976-0.001719121654071138j),(0.09274857692819576-0.002248139474606496j),(0.09273204716206271-0.0018691636923443j),(0.0927372597683194-0.002011739226286901j),(0.09274643487865578-0.00205136384107317j),(0.09274990632846195-0.0021942291741453256j),(0.09275179861051798-0.0020363447624244177j),(0.09275872075869168-0.0023003316263232286j),(0.0927730736947382-0.002265045250392138j),(0.09275455592734087-0.0020915733515531852j)
Y_N_c,150,(0.0038221531984016554+0.0019347346706032559j),(-0.0805626267765008-0.03978295624953965j),(-0.07079930052989342-0.04268505557573901j),(-0.08950303356025632-0.02828248084126436j),(-0.06497042777741092-0.054970091193601994j),(-0.08715030480870241-0.029640259462415997j),(-0.06944997431347201-0.055963566311757015j),(-0.07851698773847403-0.04322122715531829j),(-0.07359576417098357-0.05290387615754436j),(-0.07653598105837785-0.051568064601211036j),(-0.07128477771507144-0.05460947267166509j),(-0.07794293801199839-0.05214045166667733j),(-0.06999713910507009-0.056365269674481966j),(-0.07550554028170169-0.052633012102020774j),(-0.07302481962976005-0.05390887678271859j),(-0.07293633982026262-0.053655553419295655j),(-0.07332268321203585-0.05248310193167258j),(-0.07470484547589189-0.051652476415793985j),(-0.07206483092910419-0.0519401699047675j),(-0.07485059853756068-0.050703410852703856j),(-0.07415446140980542-0.04903658932966434j),(-0.07334645061310596-0.05122290155265655j),(-0.07527238726473504-0.046686229277299506j),(-0.07425216817958148-0.050185492461262686j),(-0.07439197852677464-0.04666728242725266j),(-0.0753083668955599-0.04857965240298895j),(-0.07484618488351277-0.046845362403428625j),(-0.07456534138843789-0.04851744790198148j),(-0.07585609321820401-0.04623489448060655j),(-0.07452432326298547-0.04802404646208938j),(-0.07532002855626252-0.04685280747259986j),(-0.0757898550072206-0.04634670290248498j),(-0.07496312740444144-0.04681918229590605j),(-0.07571090352657192-0.04561120163076292j),(-0.07596664447609967-0.046316784095246026j),(-0.07496162686131333-0.04601430319716495j),(-0.07588056499412968-0.04620285981916458j),(-0.0759979525586523-0.045368951253931866j),(-0.075089462975139-0.0464251627102998j),(-0.0761567718010887-0.0448733133778135j),(-0.07609285346782875-0.04521327196733067j),(-0.07540145206384587-0.04559122117619603j),(-0.07640305045614193-0.04450626298904832j),(-0.07593595978633273-0.04540809860335557j),(-0.07578884645975845-0.04490094532905706j),(-0.07629946270661433-0.045021981251835805j),(-0.07608034242681394-0.04453514778730966j),(-0.0759691445165489-0.04489335153295953j),(-0.07644081189561147-0.044376005739266255j),(-0.07613450846937025-0.04431881788988061j),(-0.07609167971486036-0.044793318162155774j)
Y_N_c,250,(-0.003007405923827531-0.005045697933861313j),(0.04365629186670535+0.0685649341878072j),(0.026795570695023682+0.06404978382611541j),(0.06720407418376054+0.06358368764484447j),(0.008853845027452178+0.07621045204941566j),(0.0648769422587674+0.06054585011300624j),(0.016738848959969736+0.08518180663090816j),(0.04360303769507173+0.06849113908156916j),(0.027537526809725783+0.08570961444888273j),(0.035719945421784124+0.07992287538982688j),(0.023613590166809688+0.08362831942917215j),(0.03804094712731248+0.08442014430054123j),(0.020196294809438752+0.08407251714041501j),(0.03341943455011899+0.0824766731750034j),(0.026554814572512735+0.08484407749945355j),(0.02768344435784719+0.08107745665204673j),(0.02804524236279703+0.08254460410933873j),(0.031099368416353+0.08155454574302234j),(0.025878232349681597+0.07929290657474683j),(0.031808831782434085+0.08055184619807361j),(0.030412204313489885+0.07792419064539866j),(0.028860080017536528+0.07901887494534081j),(0.03339193165292478+0.07573948283399667j),(0.030597351470778356+0.07899674700792057j),(0.03192958516452461+0.07395712363568527j),(0.03310796146491801+0.07812892872942243j),(0.0326318895520045+0.07475860956143039j),(0.03185243700892294+0.07678987209648774j),(0.03476438683145254+0.07524811105822013j),(0.031805579357983435+0.07594078755317496j),(0.033764732823110134+0.07515214409698505j),(0.03461444988708974+0.07529927415117715j),(0.03309016302146122+0.07440747738355595j),(0.0348040917135929+0.07389126029758156j),(0.035051539006914316+0.07521918856893302j),(0.03329908289743133+0.07325662490189035j),(0.03501797725838593+0.0748545719114146j),(0.035332119510347204+0.07388189265050017j),(0.03351290924430272+0.0738809326538659j),(0.035845508170115725+0.07329194755729336j),(0.03561883928814863+0.07361190380953872j),(0.034305408773607396+0.07310719858683096j),(0.03644784848346069+0.0729622970621877j),(0.03527799376986168+0.07365528013025054j),(0.035245842346536244+0.07256434804739209j),(0.036102597605548514+0.073583185272344j),(0.03580688703975854+0.0724955909501414j),(0.03559118818667163+0.07277755061782216j),(0.03653625001448412+0.07279992099918152j),(0.036015595863061335+0.07211226771623239j),(0.03583585160991616+0.07282846872669213j)
Y_N_c,350,(-0.0008932999665677882+0.006442288261430029j),(-8.680018969893163e-05-0.06978790476993714j),(0.016751941968901146-0.05157362154589232j),(-0.02985838730862735-0.08431717773814082j),(0.04455024319018809-0.05257347873560031j),(-0.034425558991080546-0.07471880270645148j),(0.041527487582007194-0.07400788869451488j),(-0.010073599876136681-0.06355524443785592j),(0.026765980844596225-0.08477440524021407j),(0.0063012896155047295-0.0724358612996876j),(0.02619420858919916-0.07668176270801584j),(0.007818902921703577-0.0829111365211668j),(0.02999334724051338-0.07297020768817149j),(0.011648779723191872-0.07770948361038046j),(0.02499293312094624-0.0798300569927468j),(0.017910845866895824-0.0715017184320653j),(0.021387443286469583-0.07778229179334101j),(0.0168113239174753-0.07638654083078128j),(0.02153067885698633-0.0707207676816752j),(0.01565053071214834-0.07634162122633747j),(0.017568207202002608-0.0728870070184881j),(0.017410636801895637-0.07159157678522453j),(0.013621864751185776-0.07262909530635236j),(0.0165428011616685-0.07332360347123741j),(0.01348960412211293-0.06846769675867433j),(0.01392912940915074-0.07464860115890112j),(0.013249157810859155-0.06981560990833936j),(0.01413599316583615-0.07169110904240279j),(0.011416191723219716-0.07233934190670396j),(0.014020202840140054-0.07043722415928347j),(0.011668103808587127-0.07107576968683582j),(0.011488226337353882-0.07224679703049955j),(0.011838427360459529-0.0692462968944234j),(0.010418469938262436-0.07048534401970097j),(0.010640743273416051-0.07216833518467901j),(0.011325910233081125-0.06809570951140059j),(0.010298056707444197-0.0716599757261548j),(0.010058639833669683-0.07079144620436813j),(0.011023140070882329-0.06886500019335198j),(0.009204036312601957-0.07047593734337285j),(0.009422441948910655-0.07050203381474933j),(0.010164195654721795-0.06864369247803018j),(0.008365767603564552-0.07043072503732584j),(0.00971070980992541-0.07021699415968044j),(0.009054000346870823-0.06873800330678226j),(0.008896429002978094-0.07087851768097206j),(0.008758881377888411-0.06918369794636638j),(0.00879706796008815-0.06926560270925697j),(0.008247485177006356-0.07026658509947044j),(0.008246438719153152-0.06871890886959967j),(0.008647246268765885-0.06958064663931716j)
Y_N_c,450,(0.004802346098609502-0.0038610999825780465j),(-0.03182410954884758+0.04673922646348554j),(-0.03698033936848685+0.015862635006328098j),(-0.013080405990568016+0.08093360355457402j),(-0.06514731459676094-0.0002487730525889201j),(0.006110726691521053+0.07185378247272695j),(-0.07828133626960743+0.029802808094251364j),(-0.002383564047055498+0.03997910019067791j),(-0.06752908070448059+0.05443790753918564j),(-0.025506857764215317+0.03821902784409335j),(-0.05487352140326016+0.04533841742804816j),(-0.03753670981942387+0.051701812970203126j),(-0.05460862904340176+0.03634744562539049j),(-0.0376912251057104+0.04671716262735358j),(-0.05724835324951434+0.046037176501750154j),(-0.039890130957927275+0.03687166589991206j),(-0.051965226509174386+0.04630375735720399j),(-0.045684173159608564+0.04327428703057662j),(-0.046570708658479454+0.03769404849320197j),(-0.04515310813533423+0.04513214862130214j),(-0.0469914970355201+0.04136988284507169j),(-0.04253742042067002+0.03928994181921694j),(-0.04434083069253715+0.04345956522379497j),(-0.04426886850129408+0.04137408305899728j),(-0.04037927145017884+0.038879281647406054j),(-0.04385926752613196+0.04457675655911325j),(-0.04099819850209977+0.03977518345420703j),(-0.041510247408581835+0.04156287996247335j),(-0.04143356845022677+0.043447927822772126j),(-0.040892432465187124+0.04000271439497263j),(-0.03970630927376273+0.042051829065718735j),(-0.0411882404107755+0.043315755673890864j),(-0.03830904269811979+0.03971743050900575j),(-0.03904719234744972+0.042183881243876335j),(-0.03986697174702003+0.04340295225421567j),(-0.03765427396359862+0.038980822850206945j),(-0.039043476043892494+0.043237622033404366j),(-0.03915685213118206+0.042343218172609456j),(-0.037260211193604044+0.03981262044470826j),(-0.03831628242125089+0.04260456698200866j),(-0.0381145561306384+0.042262257737024134j),(-0.03703714880050993+0.04007487594779021j),(-0.037506853807843674+0.04287186643761324j),(-0.03804187868177411+0.04177760898263225j),(-0.036424299299627046+0.04074928745679798j),(-0.03798072251059395+0.04297732167222495j),(-0.03691454594916445+0.0412488237335996j),(-0.03654786277871627+0.04136260975822284j),(-0.037374110498838625+0.042696442304723095j),(-0.03605882929980149+0.04092055120482776j),(-0.03674908524159283+0.04178687880182028j)
Y_N_c,550,(-0.005094699198558152-0.0009439014940710233j),(0.04107789825629072-0.013357947742532345j),(0.02668535436975694+0.018946660089518966j),(0.04611457265478478-0.05438574010781491j),(0.04339233645226697+0.04807192250419219j),(0.012027820589608936-0.05817098272880519j),(0.078845031062191+0.02476292120185414j),(-0.010544269585204404-0.019425890521010437j),(0.0821073120911717-0.010836286835401134j),(0.011160970948862984-0.00022098884650238954j),(0.05571701575303119-0.012688916739809139j),(0.03734056522017281-0.007771367993120483j),(0.04589701618409913-0.001188990038114287j),(0.035703544524048475-0.00922818248697713j),(0.057495134341756876-0.004644254784432632j),(0.031080022107033055-0.001388844430676375j),(0.05326084078852756-0.008503367578614189j),(0.04382132042934914-0.0026920858247899346j),(0.04175992334066875-0.0036298816682302764j),(0.045804292454016286-0.006267558133028589j),(0.04688767915734046-0.00363505301039848j),(0.03852184134254909-0.00421127237228798j),(0.0476247063845533-0.006300342243588655j),(0.04236935218234103-0.003980327717025705j),(0.040216345838399475-0.005050661962874325j),(0.045477534061756544-0.006661990741825953j),(0.040872663392247585-0.00431770657808913j),(0.041073377402315515-0.006328977198421759j),(0.04415631433887175-0.0065245918948480565j),(0.03960231755287875-0.004950723711134251j),(0.040744078458942956-0.006951328958888912j),(0.04347919620127672-0.0066558705765145405j),(0.03747841020025231-0.005630149161032765j),(0.04112386056904133-0.007162686846049514j),(0.041820793015731994-0.007110954203619019j),(0.037121040618242-0.005532529362371422j),(0.04099410797639874-0.0077622413386002525j),(0.04135135953403034-0.00656362360349185j),(0.036627485590269335-0.00631763804125009j),(0.04110872526128565-0.007314353652561821j),(0.04007372908664492-0.006933488311169076j),(0.03741433565471467-0.006392429947173905j),(0.040494886903071244-0.007685081431351395j),(0.03958496428679224-0.006634529191769266j),(0.03764993497382994-0.0070044464495443845j),(0.04062488754716201-0.007509882166241388j),(0.038734956007443304-0.006738801503699594j),(0.03815312393058744-0.007234108210141826j),(0.04031713786420758-0.0074941072869307j),(0.0377295961434117-0.006764843325774482j),(0.03872008851625447-0.0074082099925883126j)
Y_N_c,650,(0.0015218766095320914+0.0038533611620121273j),(-0.028570662646860073-0.01371987663274932j),(0.0022884188650578643-0.03249205218335443j),(-0.05582566696044399+0.01453450927527578j),(0.003280292596565631-0.0650993315810506j),(-0.018473206902680055+0.03964907105349841j),(-0.047694835402125824-0.06511783838225246j),(0.035810499130735945+0.018947553206908663j),(-0.07140892426828375-0.027636587712008037j),(0.028629322597750563-0.017874636477837713j),(-0.04067736763251964-0.0027813273737861705j),(-0.007652066112042551-0.027681819053528373j),(-0.01802536446385629-0.009480390456620693j),(-0.01255700203385808-0.016520966800854797j),(-0.0306856825655984-0.020911047685122537j),(-0.0038251163556849476-0.014808096288675207j),(-0.03134010618353499-0.015383130959698321j),(-0.01676294787754217-0.023325953442272025j),(-0.018296722873292474-0.011747756102381025j),(-0.022636309016568303-0.02009437594691625j),(-0.02320787581230746-0.019175999826011318j),(-0.015077288518413752-0.014334136104989055j),(-0.027352854072467594-0.019225704215128623j),(-0.01789150247083642-0.018086247637755102j),(-0.020480105881536613-0.014701532434218526j),(-0.023221749152307243-0.018901248358818973j),(-0.019382980461461786-0.017008289504306003j),(-0.019796159845297537-0.015016528007080199j),(-0.02350710746551072-0.01877577718883164j),(-0.017557933683828502-0.01531213976027566j),(-0.02060574652019934-0.015500242276382057j),(-0.022572007813055885-0.018062440207591388j),(-0.016638638949707053-0.014292531947760893j),(-0.021656419046905212-0.015974032023627717j),(-0.02093134424269347-0.017172201446775857j),(-0.017066701595965822-0.013952352227646642j),(-0.020958225363435667-0.01588008224197878j),(-0.021114406118086185-0.017303895377712233j),(-0.016422611546689666-0.013344254511304617j),(-0.02185859981348162-0.01669642473555575j),(-0.019977315365685883-0.016444874793726857j),(-0.017845300402965905-0.014219796097081364j),(-0.021363182846222926-0.016477226129213637j),(-0.019419534105984466-0.016245144285564873j),(-0.01856485377125652-0.01440260408839786j),(-0.021017663134175753-0.016661047687324262j),(-0.019270585415740737-0.015748308403916413j),(-0.019021010283995828-0.014901198907427922j),(-0.021101636627721895-0.01661783391847109j),(-0.018494125100431035-0.015372516775415611j),(-0.019614197682648195-0.015238803678121787j)
Y_N_c,750,(0.0024963739413916323-0.0026081786694699253j),(0.005241414321400513+0.023572562675734106j),(-0.028204431632683734+0.02002831339804618j),(0.038633164799145886+0.020382317116912404j),(-0.044704918762629664+0.04425086535748399j),(0.015034617319539742-0.025445176404619886j),(0.0024453374074864358+0.07372166993121493j),(-0.05303857589905358-0.04079102011082877j),(0.04661276730107011+0.049463195039858174j),(-0.0719973015128836+0.00468960960187019j),(0.029863390929050198-0.0010333079259681726j),(-0.038195694909579254+0.03921276211572702j),(-0.0032013826313785263-0.008959788100885713j),(-0.01617844919609361+0.023825452518146j),(-0.004141783320184787+0.017320100829363406j),(-0.020126872467217453+0.008179536812130865j),(0.002876966678165442+0.015998071818073594j),(-0.016824338154676554+0.023357624814897955j),(-0.0035883610020018496+0.004196427119842245j),(-0.00808749632247939+0.023656199485982604j),(-0.005881326290174885+0.016864515775808452j),(-0.008927904836993607+0.011030444450532006j),(-0.0012646047302681536+0.022261431718902356j),(-0.010582851573107737+0.01591425594828892j),(-0.0022641526206683563+0.013854088465760328j),(-0.006758297835935494+0.0212880407723358j),(-0.006255431266960204+0.0158118944825756j),(-0.005557413492020768+0.014922487087532372j),(-0.005051828577896498+0.021610574102130138j),(-0.007615265499984968+0.013315820615136906j),(-0.004880267885358505+0.016916896339629225j),(-0.005825077328792603+0.020270918904213276j),(-0.007242615356264666+0.013001851175145832j),(-0.004120875854662128+0.018224479209064042j),(-0.0070277035392771565+0.019173167721162118j),(-0.005893846173889379+0.012817868199458479j),(-0.005706629195582456+0.018265827348867156j),(-0.005970421553278714+0.019276127337401274j),(-0.006813769456944993+0.012477772148287538j),(-0.004537276131528929+0.01969025099421266j),(-0.006611438240721902+0.018238238438873122j),(-0.0057042887007781665+0.014469653183023273j),(-0.005152702699647365+0.019698684426927234j),(-0.006697543146880072+0.017640419299178436j),(-0.005402290224725462+0.015613966480839254j),(-0.005819847953938785+0.019585819333229185j),(-0.006036544265530659+0.017270387563595162j),(-0.005596402431155815+0.016698258072016005j),(-0.005446876170448293+0.019665617398023843j),(-0.006272520874370782+0.016884760064747022j),(-0.005463981612586622+0.01741480969491272j)
Y_N_c,850,(-0.003421772911012069-0.0010391364517739945j),(0.014710607607783508-0.01563201645509357j),(0.034057600946215044+0.006183781092750209j),(-0.0048692230086594115-0.03370494615301853j),(0.05661576464117994-0.0025916501823932438j),(-0.007647598011452691+0.01795666230860915j),(0.033237347554887234-0.05449022917920437j),(0.04623671452886921+0.06780978027518228j),(-0.021816914267870656-0.05464857553905504j),(0.09579289188598927+0.033180272896714824j),(-0.03622072824880807+0.010230430256500968j),(0.0811327707597498-0.023448001156260764j),(-0.0023955249909900413+0.040552805264455136j),(0.037651464675241025-0.01857367273745207j),(0.024651424570473684+0.012203270971063992j),(0.025290345653992925+0.007589811986555531j),(0.015763743940080108+0.0022995110668564927j),(0.036397299993936906-0.002351980732638927j),(0.009213527375173607+0.01467540131706642j),(0.029052402263810912-0.007931654824211687j),(0.02145157159960861+0.004934830151505168j),(0.0187722758026216+0.004551786011144465j),(0.02104274862618142-0.005301824104157631j),(0.025026293617733758+0.0036130028056046218j),(0.013819882941744488+0.0007120859188824248j),(0.026565359823303422-0.0038104387085582158j),(0.0194857333889416+0.0016793864240942534j),(0.019709632533883213+0.00040303203439464533j),(0.024045382610356807-0.004844515621222129j),(0.019941656459115054+0.003771954972518622j),(0.020308896880255767-0.002170295396936542j),(0.024283132687832297-0.003291147011563692j),(0.019050851691203477+0.0025779939934281676j),(0.020622044271964277-0.0035929333396530036j),(0.024838110356883297-0.0024994459739240893j),(0.01726285665385573+0.0020162791433817016j),(0.02293134187416714-0.003182848861374741j),(0.02307139943651217-0.0030654621388553497j),(0.01861681564866054+0.0021312745277632566j),(0.02202078191633098-0.004913200123922207j),(0.023183897336576425-0.002408429878128098j),(0.01864036014547049-0.0002465409689000383j),(0.022920820420946487-0.004997082868344587j),(0.02250689948920105-0.0019581989258070434j),(0.019516014901830157-0.001686897648594407j),(0.023521523319496623-0.004486396830108435j),(0.021393314778721972-0.0022093192843945847j),(0.02064786961915352-0.0027092155522479714j),(0.02306033922956149-0.004733889499684814j),(0.021131301090121665-0.002335027862371354j),(0.02120747684325627-0.003271147448732974j)
Y_N_c,950,(0.0010150170417157131+0.0033968037878849776j),(-0.021513587255067444-0.001563931018894546j),(-0.01793160363332396-0.026472442862890654j),(-0.02591238642161088+0.020536912992739794j),(-0.03534560692974839-0.03191542147979715j),(0.0015471593281404152-0.016097601574335187j),(-0.04561529265763942+0.02162371903178542j),(-0.01844691103736279-0.0825488117521216j),(0.003611804601979216+0.04730618287323933j),(-0.08886044241683505-0.0766540628428622j),(0.05621467265160537-0.006587379800303021j),(-0.10534109736434902-0.010891508004724423j),(0.03634060540746293-0.05978390440284218j),(-0.04921994066829743+0.011748500620515256j),(-0.017060048340063454-0.050551841212326976j),(-0.012901225267864122-0.0127547121369747j),(-0.017131862720189957-0.026962431917275622j),(-0.03140867899422009-0.022061288190227308j),(0.0012979517037019564-0.027861882115995322j),(-0.031118821477129154-0.013847759493874796j),(-0.015083380595786625-0.029403854955944476j),(-0.012637072367442711-0.016926320867738327j),(-0.022170200308528513-0.018875223703339456j),(-0.018777912177192792-0.02368870271512323j),(-0.010489900442360704-0.015693799476547837j),(-0.026530339755499087-0.019534393471856634j),(-0.014286022087676556-0.02030301573773924j),(-0.017499765189116837-0.017275239702267544j),(-0.023823457800911323-0.018038583094980954j),(-0.014594461751163818-0.020736305364509797j),(-0.019305787655722922-0.015797891792620665j),(-0.023583254780213794-0.01906191349337623j),(-0.01441257441786318-0.018152857877970423j),(-0.020594259479864697-0.015330567579497217j),(-0.023711648996481004-0.019001769925222848j),(-0.013108079255362393-0.016790209028298916j),(-0.022917540508443225-0.016517123608830432j),(-0.021800461643260688-0.017688098644318202j),(-0.01495029685790994-0.0168943982596043j),(-0.022361117843377694-0.015083864466335903j),(-0.021812562731209472-0.017500987477484933j),(-0.016075855601677257-0.015355396243079196j),(-0.023469436911585664-0.015128675392385934j),(-0.020649110357170757-0.017184741945318677j),(-0.018078758041710264-0.014712512811608161j),(-0.023617817202037025-0.015802378998856573j),(-0.01977347566983864-0.016202705863492674j),(-0.019771773728548953-0.01448195350040702j),(-0.02323797919339115-0.015473965889678141j),(-0.019475809563013646-0.015232198348277477j),(-0.020725350928002678-0.014655073147495165j)
